Farmers National Banc PE Ratio Historical Data,Farmers National Banc PE Ratio Historical Data,Farmers National Banc PE Ratio Historical Data,Farmers National Banc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.29,,10.89
2024-12-31,14.22,$1.22,11.66
2024-09-30,14.95,$1.23,12.16
2024-06-30,12.22,$1.36,8.98
2024-03-31,12.88,$1.45,8.88
2023-12-31,13.76,$1.34,10.27
2023-09-30,10.87,$1.34,8.11
2023-06-30,11.47,$1.44,7.96
2023-03-31,11.56,$1.51,7.66
2022-12-31,12.75,$1.79,7.12
2022-09-30,11.69,$1.58,7.4
2022-06-30,13.24,$1.68,7.88
2022-03-31,14.9,$1.76,8.47
2021-12-31,16.06,$1.80,8.92
2021-09-30,13.49,$2.02,6.68
2021-06-30,13.22,$1.84,7.19
2021-03-31,14.15,$1.68,8.42
2020-12-31,11.17,$1.47,7.6
2020-09-30,9.11,$1.42,6.42
2020-06-30,9.8,$1.37,7.15
2020-03-31,9.52,$1.29,7.38
2019-12-31,13.23,$1.29,10.26
2019-09-30,11.67,$1.25,9.33
2019-06-30,11.87,$1.21,9.81
2019-03-31,10.97,$1.19,9.21
2018-12-31,10.07,$1.17,8.6
2018-09-30,12.02,$1.05,11.44
2018-06-30,12.46,$0.98,12.71
2018-03-31,10.77,$0.90,11.97
2017-12-31,11.42,$0.83,13.76
2017-09-30,11.6,$0.84,13.81
2017-06-30,11.13,$0.82,13.57
2017-03-31,10.97,$0.80,13.72
2016-12-31,10.82,$0.77,14.05
2016-09-30,8.19,$0.69,11.87
2016-06-30,6.66,$0.56,11.89
2016-03-31,6.72,$0.41,16.38
2015-12-31,6.45,$0.35,18.43
2015-09-30,6.14,$0.35,17.55
2015-06-30,6.14,$0.40,15.36
2015-03-31,6.08,$0.49,12.4
2014-12-31,6.17,$0.49,12.6
2014-09-30,5.89,$0.49,12.01
2014-06-30,5.72,$0.46,12.43
2014-03-31,5.61,$0.43,13.05
2013-12-31,4.77,$0.42,11.35
2013-09-30,4.57,$0.44,10.39
2013-06-30,4.53,$0.48,9.43
2013-03-31,4.53,$0.50,9.05
2012-12-31,4.43,$0.52,8.52
2012-09-30,4.57,$0.54,8.46
2012-06-30,4.39,$0.54,8.12
2012-03-31,4.55,$0.53,8.58
2011-12-31,3.43,$0.50,6.87
2011-09-30,3.09,$0.58,5.33
2011-06-30,3.38,$0.66,5.12
2011-03-31,2.99,$0.70,4.27
2010-12-31,2.45,$0.68,3.6
2010-09-30,2.41,$0.51,4.73
2010-06-30,2.79,$0.42,6.65
2010-03-31,2.93,$0.39,7.52
2009-12-31,3.0,$0.44,6.81
