TruBridge PE Ratio Historical Data,TruBridge PE Ratio Historical Data,TruBridge PE Ratio Historical Data,TruBridge PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.0,,0.0
2024-12-31,19.72,$-1.17,0.0
2024-09-30,11.96,$-4.09,0.0
2024-06-30,10.0,$-3.67,0.0
2024-03-31,9.22,$-3.53,0.0
2023-12-31,11.2,$-3.15,0.0
2023-09-30,15.94,$-0.06,0.0
2023-06-30,24.69,$0.33,74.82
2023-03-31,30.2,$0.74,40.81
2022-12-31,27.22,$1.08,25.2
2022-09-30,27.88,$1.28,21.78
2022-06-30,31.97,$1.32,24.22
2022-03-31,34.45,$1.53,22.52
2021-12-31,29.3,$1.26,23.25
2021-09-30,35.46,$1.11,31.95
2021-06-30,33.23,$1.28,25.96
2021-03-31,30.6,$0.98,31.22
2020-12-31,26.84,$0.98,27.39
2020-09-30,27.61,$1.54,17.93
2020-06-30,22.71,$1.48,15.35
2020-03-31,22.07,$1.48,14.91
2019-12-31,26.1,$1.44,18.12
2019-09-30,22.27,$1.20,18.55
2019-06-30,27.24,$1.32,20.64
2019-03-31,29.0,$1.22,23.77
2018-12-31,24.44,$1.27,19.24
2018-09-30,26.04,$-0.84,0.0
2018-06-30,31.79,$-1.09,0.0
2018-03-31,28.13,$-1.00,0.0
2017-12-31,28.85,$-1.27,0.0
2017-09-30,28.27,$0.45,62.83
2017-06-30,31.06,$0.40,77.65
2017-03-31,26.36,$0.44,59.91
2016-12-31,22.01,$0.29,75.88
2016-09-30,24.07,$0.44,54.7
2016-06-30,36.44,$0.63,57.84
2016-03-31,46.9,$1.00,46.9
2015-12-31,44.27,$1.62,27.32
2015-09-30,36.9,$1.92,19.22
2015-06-30,46.14,$2.44,18.91
2015-03-31,46.31,$2.73,16.96
2014-12-31,51.22,$2.93,17.48
2014-09-30,48.03,$3.23,14.87
2014-06-30,52.65,$3.06,17.21
2014-03-31,53.0,$3.02,17.55
2013-12-31,50.28,$2.96,16.99
2013-09-30,47.19,$2.89,16.33
2013-06-30,39.29,$2.86,13.74
2013-03-31,42.82,$2.84,15.08
2012-12-31,39.41,$2.72,14.49
2012-09-30,42.27,$2.48,17.04
2012-06-30,43.13,$2.39,18.05
2012-03-31,42.25,$2.36,17.9
2011-12-31,37.93,$2.34,16.21
2011-09-30,48.75,$2.36,20.66
2011-06-30,46.51,$2.27,20.49
2011-03-31,46.82,$1.94,24.14
2010-12-31,33.9,$1.72,19.71
2010-09-30,30.59,$1.44,21.24
2010-06-30,29.16,$1.36,21.44
2010-03-31,27.61,$1.29,21.4
2009-12-31,32.22,$1.39,23.18
