KB Financial Group Inc PE Ratio Historical Data,KB Financial Group Inc PE Ratio Historical Data,KB Financial Group Inc PE Ratio Historical Data,KB Financial Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.85,,6.51
2024-09-30,61.75,$8.58,7.2
2024-06-30,56.11,$8.26,6.79
2024-03-31,51.08,$8.01,6.38
2023-12-31,39.19,$8.82,4.44
2023-09-30,38.95,$8.99,4.33
2023-06-30,34.16,$8.60,3.97
2023-03-31,33.82,$8.35,4.05
2022-12-31,35.9,$8.45,4.25
2022-09-30,27.22,$9.16,2.97
2022-06-30,33.22,$9.62,3.45
2022-03-31,43.16,$9.78,4.41
2021-12-31,40.48,$9.64,4.2
2021-09-30,39.22,$9.60,4.09
2021-06-30,41.66,$9.18,4.54
2021-03-31,41.24,$8.50,4.85
2020-12-31,33.04,$7.21,4.58
2020-09-30,25.77,$7.09,3.63
2020-06-30,22.32,$6.76,3.3
2020-03-31,21.81,$6.88,3.17
2019-12-31,33.19,$7.22,4.6
2019-09-30,27.49,$6.51,4.22
2019-06-30,30.38,$6.64,4.58
2019-03-31,28.52,$6.70,4.26
2018-12-31,32.31,$7.06,4.58
2018-09-30,35.72,$7.83,4.56
2018-06-30,34.39,$7.64,4.5
2018-03-31,42.87,$7.66,5.6
2017-12-31,43.29,$7.30,5.93
2017-09-30,35.2,$7.07,4.98
2017-06-30,36.25,$6.44,5.63
2017-03-31,31.57,$5.51,5.73
2016-12-31,25.33,$4.69,5.4
2016-09-30,23.83,$4.51,5.28
2016-06-30,19.83,$4.13,4.8
2016-03-31,19.22,$3.61,5.32
2015-12-31,19.42,$3.98,4.88
2015-09-30,20.47,$3.64,5.62
2015-06-30,22.9,$3.84,5.96
2015-03-31,24.48,$4.03,6.07
2014-12-31,22.73,$3.53,6.44
2014-09-30,24.72,$3.69,6.7
2014-06-30,23.72,$3.53,6.72
2014-03-31,23.99,$2.93,8.19
2013-12-31,27.64,$2.98,9.28
2013-09-30,23.67,$2.70,8.76
2013-06-30,20.02,$2.65,7.56
2013-03-31,22.33,$3.50,6.38
2012-12-31,24.26,$3.90,6.22
2012-09-30,23.59,$3.98,5.93
2012-06-30,21.85,$4.44,4.92
2012-03-31,24.53,$5.35,4.58
2011-12-31,20.95,$5.90,3.55
2011-09-30,21.56,$6.29,3.43
2011-06-30,31.46,$5.10,6.17
2011-03-31,34.34,$2.14,16.05
2010-12-31,34.81,$1.70,20.48
2010-09-30,28.18,$0.91,30.96
2010-06-30,24.9,$1.15,21.66
2010-03-31,31.52,$2.25,14.01
2009-12-31,33.42,$1.31,25.51
