Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,119.8,,34.62
2024-12-31,102.02,$3.46,29.49
2024-09-30,103.46,$3.67,28.19
2024-06-30,89.17,$3.48,25.62
2024-03-31,87.17,$3.25,26.82
2023-12-31,70.69,$3.06,23.1
2023-09-30,69.3,$2.63,26.35
2023-06-30,68.2,$2.58,26.43
2023-03-31,56.78,$2.42,23.46
2022-12-31,56.23,$2.36,23.83
2022-09-30,59.58,$2.21,26.96
2022-06-30,57.38,$2.16,26.56
2022-03-31,70.95,$2.14,33.16
2021-12-31,68.89,$2.07,33.28
2021-09-30,54.27,$2.05,26.47
2021-06-30,51.92,$2.00,25.96
2021-03-31,44.58,$1.85,24.1
2020-12-31,46.14,$1.69,27.3
2020-09-30,43.97,$1.62,27.14
2020-06-30,39.51,$1.56,25.33
2020-03-31,35.03,$1.55,22.6
2019-12-31,38.12,$1.41,27.03
2019-09-30,34.74,$1.40,24.81
2019-06-30,32.2,$1.37,23.5
2019-03-31,28.29,$1.30,21.76
2018-12-31,26.35,$1.22,21.6
2018-09-30,28.19,$1.62,17.4
2018-06-30,26.37,$1.51,17.52
2018-03-31,24.13,$1.48,16.36
2017-12-31,24.33,$1.40,17.38
2017-09-30,22.72,$0.95,24.04
2017-06-30,20.24,$0.93,21.76
2017-03-31,19.55,$0.94,20.9
2016-12-31,20.95,$0.91,23.02
2016-09-30,17.55,$0.91,19.28
2016-06-30,17.38,$0.90,19.41
2016-03-31,16.54,$0.88,18.91
2015-12-31,14.77,$0.85,17.38
2015-09-30,14.2,$0.73,19.45
2015-06-30,15.02,$0.73,20.57
2015-03-31,15.08,$0.73,20.8
2014-12-31,14.94,$0.72,20.89
2014-09-30,14.54,$0.79,18.41
2014-06-30,13.84,$0.75,18.46
2014-03-31,13.82,$0.72,19.2
2013-12-31,14.06,$0.74,19.0
2013-09-30,14.33,$0.73,19.77
2013-06-30,14.36,$0.70,20.51
2013-03-31,14.23,$0.67,21.39
2012-12-31,11.27,$0.63,17.88
2012-09-30,11.5,$0.61,18.85
2012-06-30,11.99,$0.60,19.98
2012-03-31,10.42,$0.59,17.81
2011-12-31,9.88,$0.58,17.18
2011-09-30,7.74,$0.56,13.82
2011-06-30,11.11,$0.56,20.02
2011-03-31,11.14,$0.57,19.54
2010-12-31,10.3,$0.57,18.23
2010-09-30,8.65,$0.54,16.03
2010-06-30,8.17,$0.53,15.42
2010-03-31,7.62,$0.53,14.38
2009-12-31,7.61,$0.55,13.96
