Allete PE Ratio Historical Data,Allete PE Ratio Historical Data,Allete PE Ratio Historical Data,Allete PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,65.73,,21.2
2024-12-31,64.8,$3.10,20.9
2024-09-30,63.49,$3.12,20.35
2024-06-30,61.0,$3.83,15.93
2024-03-31,57.7,$4.16,13.87
2023-12-31,58.45,$4.30,13.59
2023-09-30,49.86,$4.31,11.57
2023-06-30,54.08,$3.41,15.86
2023-03-31,59.4,$3.18,18.68
2022-12-31,58.85,$3.40,17.31
2022-09-30,45.19,$3.68,12.28
2022-06-30,52.53,$3.62,14.51
2022-03-31,59.23,$3.48,17.02
2021-12-31,58.05,$3.23,17.97
2021-09-30,51.57,$2.95,17.48
2021-06-30,60.1,$3.20,18.78
2021-03-31,57.19,$3.06,18.69
2020-12-31,52.22,$3.35,15.59
2020-09-30,43.14,$3.41,12.65
2020-06-30,45.05,$3.23,13.95
2020-03-31,49.45,$3.50,14.13
2019-12-31,65.64,$3.59,18.29
2019-09-30,70.18,$3.81,18.42
2019-06-30,66.81,$3.80,17.58
2019-03-31,65.55,$3.75,17.48
2018-12-31,60.3,$3.37,17.89
2018-09-30,58.92,$3.00,19.64
2018-06-30,60.37,$3.29,18.35
2018-03-31,55.94,$3.40,16.45
2017-12-31,57.1,$3.38,16.89
2017-09-30,58.95,$3.46,17.04
2017-06-30,54.27,$3.39,16.01
2017-03-31,50.88,$3.17,16.05
2016-12-31,47.84,$3.13,15.28
2016-09-30,44.04,$2.61,16.87
2016-06-30,47.34,$3.03,15.62
2016-03-31,40.7,$2.99,13.61
2015-12-31,36.53,$2.91,12.55
2015-09-30,35.93,$3.27,10.99
2015-06-30,32.69,$3.01,10.86
2015-03-31,36.79,$2.95,12.47
2014-12-31,38.1,$2.90,13.14
2014-09-30,30.38,$2.99,10.16
2014-06-30,34.78,$2.65,13.13
2014-03-31,35.16,$2.60,13.52
2013-12-31,33.12,$2.63,12.59
2013-09-30,31.77,$2.56,12.41
2013-06-30,32.49,$2.71,11.99
2013-03-31,31.65,$2.75,11.51
2012-12-31,26.19,$2.58,10.15
2012-09-30,26.37,$2.36,11.17
2012-06-30,26.11,$2.15,12.14
2012-03-31,25.62,$2.24,11.44
2011-12-31,25.64,$2.65,9.67
2011-09-30,22.11,$2.50,8.85
2011-06-30,24.49,$2.49,9.83
2011-03-31,23.0,$2.58,8.91
2010-12-31,21.73,$2.19,9.92
2010-09-30,20.99,$2.37,8.86
2010-06-30,19.49,$2.30,8.47
2010-03-31,18.83,$2.02,9.32
2009-12-31,18.13,$1.89,9.59
