Adaptive Biotechnologies PE Ratio Historical Data,Adaptive Biotechnologies PE Ratio Historical Data,Adaptive Biotechnologies PE Ratio Historical Data,Adaptive Biotechnologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.75,,0.0
2024-12-31,6.0,$-1.09,0.0
2024-09-30,5.12,$-1.34,0.0
2024-06-30,3.62,$-1.47,0.0
2024-03-31,3.21,$-1.49,0.0
2023-12-31,4.9,$-1.56,0.0
2023-09-30,5.45,$-1.36,0.0
2023-06-30,6.71,$-1.33,0.0
2023-03-31,8.83,$-1.37,0.0
2022-12-31,7.64,$-1.41,0.0
2022-09-30,7.12,$-1.56,0.0
2022-06-30,8.09,$-1.64,0.0
2022-03-31,13.88,$-1.62,0.0
2021-12-31,28.06,$-1.47,0.0
2021-09-30,33.99,$-1.37,0.0
2021-06-30,40.86,$-1.24,0.0
2021-03-31,40.26,$-1.15,0.0
2020-12-31,59.13,$-1.11,0.0
2020-09-30,48.63,$-0.95,0.0
2020-06-30,48.38,$-0.79,0.0
2020-03-31,27.78,$-1.76,0.0
