ITT PE Ratio Historical Data,ITT PE Ratio Historical Data,ITT PE Ratio Historical Data,ITT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,135.12,,21.45
2024-12-31,142.88,$6.30,22.68
2024-09-30,149.21,$5.86,25.46
2024-06-30,128.61,$5.24,24.54
2024-03-31,135.43,$5.10,26.55
2023-12-31,118.5,$4.96,23.89
2023-09-30,96.97,$5.24,18.51
2023-06-30,92.06,$5.13,17.94
2023-03-31,84.95,$4.71,18.04
2022-12-31,79.58,$4.39,18.13
2022-09-30,63.91,$4.20,15.22
2022-06-30,65.53,$3.98,16.47
2022-03-31,73.01,$3.54,20.62
2021-12-31,98.86,$3.65,27.08
2021-09-30,82.86,$2.29,36.18
2021-06-30,88.2,$0.74,119.18
2021-03-31,87.32,$0.84,103.95
2020-12-31,73.79,$0.81,91.1
2020-09-30,56.45,$1.74,32.44
2020-06-30,56.0,$3.62,15.47
2020-03-31,43.11,$3.82,11.29
2019-12-31,70.0,$3.66,19.12
2019-09-30,57.83,$3.48,16.62
2019-06-30,61.73,$3.39,18.21
2019-03-31,54.55,$3.43,15.9
2018-12-31,45.28,$3.77,12.01
2018-09-30,57.32,$2.42,23.69
2018-06-30,48.8,$2.15,22.7
2018-03-31,45.61,$1.90,24.01
2017-12-31,49.58,$1.28,38.73
2017-09-30,41.02,$2.33,17.61
2017-06-30,37.12,$2.35,15.79
2017-03-31,37.77,$2.17,17.4
2016-12-31,35.4,$2.06,17.18
2016-09-30,32.79,$2.18,15.04
2016-06-30,29.16,$2.63,11.09
2016-03-31,33.52,$3.85,8.71
2015-12-31,33.01,$3.90,8.46
2015-09-30,30.38,$3.85,7.89
2015-06-30,38.02,$3.26,11.66
2015-03-31,36.27,$2.09,17.35
2014-12-31,36.77,$1.98,18.57
2014-09-30,40.84,$1.74,23.47
2014-06-30,43.71,$5.57,7.85
2014-03-31,38.86,$5.44,7.14
2013-12-31,39.46,$5.31,7.43
2013-09-30,32.59,$5.54,5.88
2013-06-30,26.58,$1.63,16.31
2013-03-31,25.61,$1.53,16.74
2012-12-31,21.06,$1.34,15.72
2012-09-30,18.01,$-4.69,0.0
2012-06-30,15.66,$-4.63,0.0
2012-03-31,20.32,$-3.01,0.0
2011-12-31,17.06,$-1.72,0.0
2011-09-30,18.45,$6.84,2.7
2011-06-30,25.81,$7.56,3.41
2011-03-31,26.18,$8.32,3.15
2010-12-31,22.62,$8.58,2.64
2010-09-30,20.23,$7.86,2.57
2010-06-30,19.29,$6.94,2.78
2010-03-31,22.91,$6.58,3.48
2009-12-31,21.15,$7.00,3.02
