Diebold Nixdorf PE Ratio Historical Data,Diebold Nixdorf PE Ratio Historical Data,Diebold Nixdorf PE Ratio Historical Data,Diebold Nixdorf PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.26,,0.0
2024-12-31,43.04,$-0.44,0.0
2024-09-30,44.66,$0.13,343.54
2024-06-30,38.48,$0.73,52.71
