ARKO PE Ratio Historical Data,ARKO PE Ratio Historical Data,ARKO PE Ratio Historical Data,ARKO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.07,,31.31
2024-12-31,6.59,$0.13,50.69
2024-09-30,6.99,$0.16,43.68
2024-06-30,6.21,$0.26,23.89
2024-03-31,5.62,$0.26,21.61
2023-12-31,8.09,$0.25,32.37
2023-09-30,6.99,$0.34,20.54
2023-06-30,7.74,$0.34,22.76
2023-03-31,8.23,$0.47,17.51
2022-12-31,8.37,$0.50,16.73
2022-09-30,9.04,$0.50,18.08
2022-06-30,7.84,$0.58,13.52
2022-03-31,8.73,$0.53,16.46
2021-12-31,8.39,$0.40,20.97
2021-09-30,9.66,$0.16,60.38
2021-06-30,8.79,$-0.09,0.0
2021-03-31,9.51,$-0.28,0.0
2020-12-31,8.61,$-0.15,0.0
2020-09-30,9.57,0,0.0
2020-06-30,9.9,0,0.0
