UGI PE Ratio Historical Data,UGI PE Ratio Historical Data,UGI PE Ratio Historical Data,UGI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.61,,13.23
2024-12-31,28.23,$2.54,11.11
2024-09-30,24.69,$1.24,19.91
2024-06-30,22.25,$3.12,7.13
2024-03-31,23.46,$-0.41,0.0
2023-12-31,23.16,$-2.20,0.0
2023-09-30,21.31,$-7.18,0.0
2023-06-30,24.6,$-6.66,0.0
2023-03-31,31.28,$-2.93,0.0
2022-12-31,33.03,$0.88,37.53
2022-09-30,28.54,$4.96,5.75
2022-06-30,33.77,$6.26,5.39
2022-03-31,31.39,$7.00,4.48
2021-12-31,39.4,$5.01,7.86
2021-09-30,36.3,$6.91,5.25
2021-06-30,39.13,$4.52,8.66
2021-03-31,34.4,$4.22,8.15
2020-12-31,29.09,$2.96,9.83
2020-09-30,27.19,$2.52,10.79
2020-06-30,25.95,$2.21,11.74
2020-03-31,21.54,$1.79,12.03
2019-12-31,36.1,$2.10,17.19
2019-09-30,39.89,$1.46,27.33
2019-06-30,42.1,$1.87,22.52
2019-03-31,43.44,$2.18,19.93
2018-12-31,41.62,$2.37,17.56
2018-09-30,43.09,$4.08,10.56
2018-06-30,40.25,$3.97,10.14
2018-03-31,34.16,$3.56,9.6
2017-12-31,35.9,$3.23,11.11
2017-09-30,35.64,$2.46,14.49
2017-06-30,36.63,$2.18,16.8
2017-03-31,37.2,$2.63,14.14
2016-12-31,34.52,$2.72,12.69
2016-09-30,33.72,$2.07,16.29
2016-06-30,33.55,$2.27,14.78
2016-03-31,29.71,$1.98,15.0
2015-12-31,24.75,$2.05,12.07
2015-09-30,25.34,$1.59,15.94
2015-06-30,24.91,$1.53,16.28
2015-03-31,23.41,$1.60,14.63
2014-12-31,27.1,$1.43,19.0
2014-09-30,24.19,$1.94,12.49
2014-06-30,23.74,$1.97,12.07
2014-03-31,21.31,$1.93,11.02
2013-12-31,19.25,$1.70,11.32
2013-09-30,18.04,$1.60,11.28
2013-06-30,17.9,$1.59,11.23
2013-03-31,17.44,$1.47,11.89
2012-12-31,14.75,$1.26,11.71
2012-09-30,14.21,$1.17,12.11
2012-06-30,13.05,$1.13,11.58
2012-03-31,11.97,$1.13,10.63
2011-12-31,12.8,$1.22,10.49
2011-09-30,11.33,$1.38,8.21
2011-06-30,13.63,$1.53,8.93
2011-03-31,13.94,$1.59,8.79
2010-12-31,13.28,$1.66,8.0
2010-09-30,11.94,$1.59,7.52
2010-06-30,10.52,$1.51,6.98
2010-03-31,10.87,$1.47,7.41
2009-12-31,9.83,$1.48,6.64
