Medallion Financial PE Ratio Historical Data,Medallion Financial PE Ratio Historical Data,Medallion Financial PE Ratio Historical Data,Medallion Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.82,,8.09
2024-12-31,9.39,$1.09,8.61
2024-09-30,8.05,$1.69,4.76
2024-06-30,7.5,$1.80,4.16
2024-03-31,7.63,$2.12,3.6
2023-12-31,9.38,$2.37,3.96
2023-09-30,6.61,$2.34,2.82
2023-06-30,7.37,$2.18,3.38
2023-03-31,7.06,$2.10,3.36
2022-12-31,6.51,$1.82,3.58
2022-09-30,6.33,$2.03,3.12
2022-06-30,5.71,$2.35,2.43
2022-03-31,7.51,$2.22,3.38
2021-12-31,5.08,$2.17,2.34
2021-09-30,6.87,$1.65,4.16
2021-06-30,7.76,$0.04,193.98
2021-03-31,6.17,$-0.53,0.0
2020-12-31,4.29,$-1.43,0.0
2020-09-30,2.19,$-1.58,0.0
2020-06-30,2.32,$-0.41,0.0
2020-03-31,1.63,$-0.56,0.0
2019-12-31,6.37,$0.05,127.33
2019-09-30,5.6,$0.32,17.51
2019-06-30,5.9,$-0.07,0.0
2019-03-31,6.04,$-0.36,0.0
2018-12-31,4.11,$-1.03,0.0
2018-09-30,5.82,$-1.27,0.0
2018-06-30,4.8,$-1.05,0.0
2018-03-31,4.07,$-0.65,0.0
2017-12-31,3.09,$0.02,154.57
2017-09-30,1.9,$0.17,11.18
2017-06-30,2.09,$0.35,5.98
2017-03-31,1.73,$0.74,2.34
2016-12-31,2.64,$0.97,2.73
2016-09-30,3.64,$0.96,3.8
2016-06-30,6.31,$1.05,6.01
2016-03-31,7.64,$1.19,6.42
2015-12-31,5.68,$1.20,4.73
2015-09-30,5.94,$1.24,4.79
2015-06-30,6.35,$1.21,5.25
2015-03-31,6.89,$1.16,5.94
2014-12-31,7.27,$1.14,6.38
2014-09-30,8.29,$1.11,7.47
2014-06-30,8.68,$1.13,7.68
2014-03-31,9.04,$1.13,8.0
2013-12-31,9.66,$1.16,8.33
2013-09-30,9.88,$1.17,8.45
2013-06-30,9.1,$1.19,7.65
2013-03-31,8.53,$1.21,7.05
2012-12-31,7.45,$1.21,6.16
2012-09-30,7.36,$1.23,5.98
2012-06-30,6.49,$1.19,5.46
2012-03-31,6.7,$1.14,5.88
2011-12-31,6.71,$1.08,6.22
2011-09-30,5.4,$1.02,5.29
2011-06-30,5.55,$0.95,5.84
2011-03-31,4.92,$0.87,5.65
2010-12-31,4.5,$0.76,5.92
2010-09-30,4.2,$0.62,6.77
2010-06-30,3.48,$0.58,6.01
2010-03-31,4.12,$0.52,7.93
2009-12-31,4.15,$0.50,8.31
