Celcuity PE Ratio Historical Data,Celcuity PE Ratio Historical Data,Celcuity PE Ratio Historical Data,Celcuity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.47,,0.0
2024-09-30,14.91,$-2.61,0.0
2024-06-30,16.38,$-2.74,0.0
2024-03-31,21.6,$-2.78,0.0
2023-12-31,14.57,$-2.69,0.0
2023-09-30,9.14,$-2.73,0.0
2023-06-30,10.98,$-2.65,0.0
2023-03-31,10.25,$-2.66,0.0
2022-12-31,14.01,$-2.64,0.0
2022-09-30,10.04,$-2.40,0.0
2022-06-30,9.1,$-2.06,0.0
2022-03-31,9.35,$-2.50,0.0
2021-12-31,13.19,$-2.22,0.0
2021-09-30,18.0,$-2.02,0.0
2021-06-30,24.0,$-1.85,0.0
2021-03-31,14.34,$-0.95,0.0
2020-12-31,9.16,$-0.92,0.0
2020-09-30,5.8,$-0.85,0.0
2020-06-30,6.93,$-0.80,0.0
2020-03-31,6.5,$-0.76,0.0
2019-12-31,10.64,$-0.72,0.0
2019-09-30,16.98,$-0.72,0.0
2019-06-30,25.0,$-0.71,0.0
2019-03-31,21.91,$-0.72,0.0
2018-12-31,23.99,$-0.73,0.0
2018-09-30,28.76,$-0.72,0.0
2018-06-30,24.82,$-0.80,0.0
