Definitive Healthcare PE Ratio Historical Data,Definitive Healthcare PE Ratio Historical Data,Definitive Healthcare PE Ratio Historical Data,Definitive Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.79,,0.0
2024-12-31,4.11,$-3.52,0.0
2024-09-30,4.47,$-3.10,0.0
2024-06-30,5.46,$-3.48,0.0
2024-03-31,8.07,$-1.75,0.0
2023-12-31,9.94,$-1.78,0.0
2023-09-30,7.99,$-1.62,0.0
2023-06-30,11.0,$-0.15,0.0
2023-03-31,10.33,$-0.12,0.0
2022-12-31,10.99,$-0.10,0.0
2022-09-30,15.54,$-0.27,0.0
2022-06-30,22.93,$-0.33,0.0
