Quoin Pharmaceuticals PE Ratio Historical Data,Quoin Pharmaceuticals PE Ratio Historical Data,Quoin Pharmaceuticals PE Ratio Historical Data,Quoin Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.29,,0.0
2024-12-31,0.65,$-1.97,0.0
2024-09-30,0.49,$-4.05,0.0
2024-06-30,0.58,$-5.53,0.0
2024-03-31,0.95,$-7.27,0.0
2023-12-31,4.91,$-10.24,0.0
2023-09-30,4.15,$-13.08,0.0
2023-06-30,6.0,$-22.42,0.0
2023-03-31,5.71,$-59.18,0.0
2022-12-31,17.04,$-85.12,0.0
2022-09-30,26.76,$-80.19,0.0
2022-06-30,67.55,$-68.91,0.0
2022-03-31,199.5,$-288.12,0.0
2021-12-31,273.0,$-258.10,0.0
2021-09-30,2769.0,$-492.20,0.0
2021-06-30,2250.0,$-564.23,0.0
2021-03-31,1884.0,$-720.29,0.0
2020-12-31,1296.0,$-852.34,0.0
2020-09-30,1260.0,"$-1,080.43",0.0
2020-06-30,1890.0,"$-1,374.55",0.0
2020-03-31,882.0,"$-1,020.41",0.0
2019-12-31,1331.82,"$-1,368.55",0.0
2019-09-30,1464.0,"$-1,386.55",0.0
2019-06-30,1528.8,"$-1,890.76",0.0
2019-03-31,3032.4,"$-2,611.04",0.0
2018-12-31,6300.0,"$-2,611.04",0.0
2018-09-30,14280.0,"$-2,611.04",0.0
2018-06-30,21450.0,"$-2,911.16",0.0
2018-03-31,19140.0,"$-2,821.13",0.0
2017-12-31,21000.0,"$-2,460.98",0.0
2017-09-30,23850.0,"$-2,010.80",0.0
2017-06-30,24180.0,"$-1,740.70",0.0
