Wag! Group PE Ratio Historical Data,Wag! Group PE Ratio Historical Data,Wag! Group PE Ratio Historical Data,Wag! Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.24,,0.0
2024-09-30,0.86,$-0.39,0.0
2024-06-30,1.6,$-0.32,0.0
2024-03-31,1.98,$-0.36,0.0
2023-12-31,1.75,$-0.35,0.0
2023-09-30,1.95,$-0.19,0.0
2023-06-30,2.1,$-1.80,0.0
