Premier PE Ratio Historical Data,Premier PE Ratio Historical Data,Premier PE Ratio Historical Data,Premier PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.71,,0.0
2024-12-31,21.2,$-0.10,0.0
2024-09-30,19.82,$1.36,14.57
2024-06-30,18.31,$1.03,17.78
2024-03-31,21.44,$0.64,33.5
2023-12-31,21.47,$1.39,15.45
2023-09-30,20.44,$1.48,13.81
2023-06-30,26.04,$1.47,17.72
2023-03-31,30.22,$1.54,19.62
2022-12-31,32.45,$1.47,22.07
2022-09-30,31.29,$1.55,20.18
2022-06-30,32.69,$2.16,15.14
2022-03-31,32.44,$2.31,14.04
2021-12-31,37.32,$2.38,15.68
2021-09-30,34.94,$2.12,16.48
2021-06-30,31.2,$2.57,12.14
2021-03-31,30.18,$1.86,16.23
2020-12-31,31.12,$2.01,15.48
2020-09-30,28.95,$-5.22,0.0
2020-06-30,30.06,$-6.15,0.0
2020-03-31,28.69,$-10.49,0.0
2019-12-31,33.21,$-10.55,0.0
2019-09-30,25.36,$-2.99,0.0
2019-06-30,34.29,$-16.28,0.0
2019-03-31,30.24,$-17.80,0.0
2018-12-31,32.75,$-20.21,0.0
2018-09-30,40.14,$-18.88,0.0
2018-06-30,31.9,$-3.68,0.0
2018-03-31,27.45,$-3.61,0.0
2017-12-31,25.59,$-3.26,0.0
2017-09-30,28.56,$-4.19,0.0
2017-06-30,31.56,$-6.33,0.0
2017-03-31,27.91,$0.07,398.69
2016-12-31,26.62,$2.08,12.8
2016-09-30,28.36,$-0.32,0.0
2016-06-30,28.67,$-0.34,0.0
2016-03-31,29.25,$-2.88,0.0
2015-12-31,30.92,$-13.35,0.0
2015-09-30,30.14,$-12.97,0.0
2015-06-30,33.72,$-15.79,0.0
2015-03-31,32.95,$1.54,21.4
2014-12-31,29.4,$27.88,1.05
2014-09-30,28.81,$28.85,1.0
2014-06-30,25.43,$31.38,0.81
