Cenovus Energy Inc PE Ratio Historical Data,Cenovus Energy Inc PE Ratio Historical Data,Cenovus Energy Inc PE Ratio Historical Data,Cenovus Energy Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.03,,11.6
2024-12-31,15.15,$1.21,12.52
2024-09-30,16.53,$1.45,11.4
2024-06-30,19.27,$1.86,10.36
2024-03-31,19.36,$1.80,10.76
2023-12-31,16.04,$1.58,10.15
2023-09-30,19.93,$1.58,12.61
2023-06-30,16.17,$1.48,10.93
2023-03-31,16.53,$2.08,7.95
2022-12-31,18.29,$2.46,7.43
2022-09-30,14.36,$2.01,7.15
2022-06-30,17.69,$1.60,11.06
2022-03-31,15.47,$0.76,20.35
2021-12-31,11.37,$0.22,51.66
2021-09-30,9.29,$0.28,33.18
2021-06-30,8.83,$-0.05,0.0
2021-03-31,6.92,$-0.28,0.0
2020-12-31,5.55,$-1.45,0.0
2020-09-30,3.58,$-1.28,0.0
2020-06-30,4.29,$-1.04,0.0
2020-03-31,1.86,$0.18,10.31
2019-12-31,9.17,$1.34,6.84
2019-09-30,8.43,$0.43,19.61
2019-06-30,7.9,$0.16,49.37
2019-03-31,7.74,$-1.18,0.0
2018-12-31,6.24,$-1.67,0.0
2018-09-30,8.86,$-0.44,0.0
2018-06-30,9.13,$-0.34,0.0
2018-03-31,7.48,$1.68,4.45
2017-12-31,7.96,$2.29,3.48
2017-09-30,8.7,$1.98,4.39
2017-06-30,6.37,$1.80,3.54
2017-03-31,9.72,$-0.21,0.0
2016-12-31,12.98,$-0.50,0.0
2016-09-30,12.3,$-1.16,0.0
2016-06-30,11.8,$0.72,16.38
2016-03-31,11.07,$1.09,10.15
2015-12-31,10.71,$0.48,22.32
2015-09-30,12.75,$0.57,22.37
2015-06-30,13.35,$-0.66,0.0
2015-03-31,13.89,$-0.03,0.0
2014-12-31,16.76,$0.98,17.1
2014-09-30,21.57,$1.40,15.41
2014-06-30,25.77,$1.45,17.77
2014-03-31,22.87,$0.93,24.59
2013-12-31,22.42,$0.85,26.38
2013-09-30,23.18,$0.76,30.49
2013-06-30,21.97,$0.67,32.8
2013-03-31,23.68,$0.95,24.93
2012-12-31,25.44,$1.30,19.57
2012-09-30,26.26,$1.81,14.51
2012-06-30,23.81,$2.09,11.39
2012-03-31,26.72,$2.50,10.69
2011-12-31,24.54,$2.00,12.27
2011-09-30,22.56,$1.75,12.89
2011-06-30,27.5,$1.37,20.07
2011-03-31,28.58,$0.67,42.66
2010-12-31,23.99,$1.29,18.59
2010-09-30,20.63,$1.22,16.91
