Materion PE Ratio Historical Data,Materion PE Ratio Historical Data,Materion PE Ratio Historical Data,Materion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,85.32,,294.21
2024-12-31,98.88,$0.29,340.97
2024-09-30,111.73,$3.55,31.47
2024-06-30,107.88,$3.75,28.77
2024-03-31,131.29,$3.99,32.91
2023-12-31,129.55,$4.58,28.29
2023-09-30,101.34,$5.03,20.15
2023-06-30,113.42,$4.72,24.03
2023-03-31,115.06,$4.69,24.53
2022-12-31,86.7,$4.14,20.94
2022-09-30,79.14,$3.71,21.33
2022-06-30,72.84,$3.63,20.07
2022-03-31,84.58,$3.38,25.02
2021-12-31,90.42,$3.51,25.76
2021-09-30,67.42,$2.95,22.85
2021-06-30,73.89,$2.39,30.91
2021-03-31,64.85,$1.84,35.25
2020-12-31,62.28,$0.88,70.78
2020-09-30,50.74,$1.20,42.28
2020-06-30,59.85,$1.05,57.0
2020-03-31,34.0,$1.48,22.97
2019-12-31,57.62,$2.45,23.52
2019-09-30,59.36,$0.71,83.6
2019-06-30,65.48,$1.51,43.36
2019-03-31,55.01,$1.30,42.31
2018-12-31,43.29,$0.99,43.73
2018-09-30,58.11,$1.61,36.09
2018-06-30,51.93,$1.10,47.2
2018-03-31,48.86,$0.92,53.11
2017-12-31,46.42,$0.56,82.9
2017-09-30,41.14,$1.30,31.64
2017-06-30,35.56,$1.24,28.68
2017-03-31,31.81,$1.15,27.66
2016-12-31,37.46,$1.27,29.49
2016-09-30,28.96,$1.27,22.81
2016-06-30,23.28,$1.21,19.24
2016-03-31,24.79,$1.37,18.1
2015-12-31,26.12,$1.57,16.64
2015-09-30,27.92,$1.82,15.34
2015-06-30,32.7,$2.08,15.72
2015-03-31,35.56,$2.12,16.77
2014-12-31,32.52,$2.00,16.26
2014-09-30,28.25,$1.60,17.66
2014-06-30,33.99,$1.24,27.41
2014-03-31,31.1,$1.20,25.91
2013-12-31,28.19,$1.18,23.89
2013-09-30,29.22,$1.12,26.09
2013-06-30,24.63,$1.27,19.39
2013-03-31,25.84,$1.22,21.18
2012-12-31,23.31,$1.19,19.59
2012-09-30,21.44,$1.11,19.31
2012-06-30,20.67,$1.37,15.09
2012-03-31,25.7,$1.66,15.48
2011-12-31,21.72,$1.93,11.25
2011-09-30,20.29,$2.50,8.12
2011-06-30,33.07,$2.50,13.23
2011-03-31,36.5,$2.50,14.6
2010-12-31,34.57,$2.26,15.29
2010-09-30,25.44,$1.47,17.31
2010-06-30,17.87,$0.83,21.53
2010-03-31,20.19,$0.12,168.25
2009-12-31,16.59,$-0.61,0.0
