Kelly Services PE Ratio Historical Data,Kelly Services PE Ratio Historical Data,Kelly Services PE Ratio Historical Data,Kelly Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.89,,0.0
2024-12-31,13.93,$-0.06,0.0
2024-09-30,20.89,$1.15,18.17
2024-06-30,21.41,$1.31,16.34
2024-03-31,24.7,$1.39,17.77
2023-12-31,21.31,$0.98,21.75
2023-09-30,17.95,$0.65,27.61
2023-06-30,16.52,$0.04,412.91
2023-03-31,15.81,$-0.10,0.0
2022-12-31,16.71,$-1.62,0.0
2022-09-30,13.17,$0.20,65.84
2022-06-30,18.27,$1.50,12.18
2022-03-31,21.15,$2.04,10.37
2021-12-31,16.22,$3.91,4.15
2021-09-30,18.74,$2.70,6.94
2021-06-30,22.79,$2.25,10.13
2021-03-31,21.18,$2.69,7.87
2020-12-31,19.41,$-1.86,0.0
2020-09-30,16.51,$-2.02,0.0
2020-06-30,14.2,$-2.71,0.0
2020-03-31,10.76,$-1.63,0.0
2019-12-31,20.58,$2.84,7.25
2019-09-30,24.93,$1.79,13.93
2019-06-30,23.95,$2.90,8.26
2019-03-31,21.92,$0.38,57.67
2018-12-31,20.55,$0.56,36.7
2018-09-30,22.33,$1.63,13.7
2018-06-30,21.34,$1.37,15.58
2018-03-31,26.77,$2.24,11.95
2017-12-31,26.31,$1.81,14.54
2017-09-30,21.17,$1.91,11.09
2017-06-30,20.45,$3.39,6.03
2017-03-31,18.56,$3.15,5.89
2016-12-31,20.45,$3.13,6.53
2016-09-30,16.35,$3.46,4.73
2016-06-30,16.74,$1.63,10.27
2016-03-31,16.05,$1.58,10.16
2015-12-31,14.72,$1.39,10.59
2015-09-30,12.41,$0.95,13.07
2015-06-30,15.93,$0.75,21.24
2015-03-31,15.93,$0.64,24.89
2014-12-31,15.31,$0.61,25.09
2014-09-30,14.34,$0.62,23.13
2014-06-30,15.26,$1.08,14.13
2014-03-31,20.89,$1.27,16.45
2013-12-31,21.2,$1.54,13.76
2013-09-30,17.98,$1.32,13.62
2013-06-30,15.33,$1.26,12.17
2013-03-31,16.28,$1.40,11.63
2012-12-31,13.45,$1.32,10.19
2012-09-30,11.66,$1.73,6.74
2012-06-30,11.08,$1.82,6.09
2012-03-31,12.85,$1.92,6.69
2011-12-31,11.81,$1.69,6.99
2011-09-30,11.19,$1.44,7.77
2011-06-30,13.6,$1.18,11.53
2011-03-31,18.11,$0.79,22.92
2010-12-31,16.67,$0.70,23.81
2010-09-30,9.05,$0.08,113.16
2010-06-30,11.19,$-0.61,0.0
2010-03-31,14.13,$-2.61,0.0
2009-12-31,10.11,$-2.55,0.0
