Teledyne Technologies PE Ratio Historical Data,Teledyne Technologies PE Ratio Historical Data,Teledyne Technologies PE Ratio Historical Data,Teledyne Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,499.29,,28.98
2024-12-31,464.13,$17.23,26.94
2024-09-30,437.66,$19.78,22.13
2024-06-30,387.98,$18.39,21.1
2024-03-31,429.32,$18.49,23.22
2023-12-31,446.29,$18.50,24.12
2023-09-30,408.58,$16.49,24.78
2023-06-30,411.11,$16.08,25.57
2023-03-31,447.36,$15.80,28.31
2022-12-31,399.91,$16.53,24.19
2022-09-30,337.47,$15.18,22.23
2022-06-30,375.11,$14.25,26.32
2022-03-31,472.63,$12.14,38.93
2021-12-31,436.89,$9.91,44.09
2021-09-30,429.58,$10.00,42.96
2021-06-30,418.83,$9.67,43.31
2021-03-31,413.65,$10.67,38.77
2020-12-31,391.98,$10.61,36.94
2020-09-30,310.21,$10.19,30.44
2020-06-30,310.95,$10.55,29.47
2020-03-31,297.27,$10.87,27.35
2019-12-31,346.54,$10.72,32.33
2019-09-30,321.99,$10.11,31.85
2019-06-30,273.87,$9.70,28.23
2019-03-31,237.01,$9.22,25.71
2018-12-31,207.07,$9.01,22.98
2018-09-30,246.68,$8.40,29.37
2018-06-30,199.06,$7.87,25.29
2018-03-31,187.17,$7.21,25.96
2017-12-31,181.15,$6.24,29.03
2017-09-30,159.18,$5.88,27.07
2017-06-30,127.65,$5.44,23.47
2017-03-31,126.46,$5.09,24.84
2016-12-31,123.0,$5.35,22.99
2016-09-30,107.93,$5.44,19.84
2016-06-30,99.05,$5.32,18.62
2016-03-31,88.14,$5.35,16.47
2015-12-31,88.7,$5.45,16.28
2015-09-30,90.3,$5.50,16.42
2015-06-30,105.51,$5.63,18.74
2015-03-31,106.73,$5.76,18.53
2014-12-31,102.74,$5.76,17.84
2014-09-30,94.01,$5.58,16.85
2014-06-30,97.17,$5.34,18.2
2014-03-31,97.33,$5.00,19.47
2013-12-31,91.86,$4.87,18.86
2013-09-30,84.93,$4.66,18.23
2013-06-30,77.35,$4.57,16.93
2013-03-31,78.44,$4.50,17.43
2012-12-31,65.07,$4.39,14.82
2012-09-30,63.39,$4.15,15.27
2012-06-30,61.65,$3.92,15.73
2012-03-31,63.05,$6.94,9.09
2011-12-31,54.85,$6.84,8.02
2011-09-30,48.86,$6.84,7.14
2011-06-30,50.36,$6.75,7.46
2011-03-31,51.71,$3.45,14.99
2010-12-31,43.97,$3.27,13.45
2010-09-30,39.82,$3.16,12.6
2010-06-30,38.58,$3.30,11.69
2010-03-31,41.27,$3.21,12.86
2009-12-31,38.36,$3.10,12.37
