Prospect Capital PE Ratio Historical Data,Prospect Capital PE Ratio Historical Data,Prospect Capital PE Ratio Historical Data,Prospect Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.26,,0.0
2024-12-31,4.31,$-0.20,0.0
2024-09-30,5.24,$-0.26,0.0
2024-06-30,5.23,$0.35,14.96
2024-03-31,5.06,$0.34,14.87
2023-12-31,5.32,$-0.20,0.0
2023-09-30,5.21,$0.11,47.33
2023-06-30,5.18,$-0.39,0.0
2023-03-31,5.66,$-0.50,0.0
2022-12-31,5.54,$0.17,32.6
2022-09-30,4.8,$0.64,7.5
2022-06-30,5.28,$1.45,3.64
2022-03-31,6.1,$2.20,2.77
2021-12-31,6.06,$2.44,2.48
2021-09-30,5.44,$2.59,2.1
2021-06-30,5.79,$2.50,2.32
2021-03-31,5.18,$2.33,2.22
2020-12-31,3.56,$1.18,3.02
2020-09-30,3.2,$0.35,9.15
2020-06-30,3.14,$-0.05,0.0
2020-03-31,2.52,$-0.38,0.0
2019-12-31,3.69,$0.37,9.98
2019-09-30,3.68,$0.22,16.71
2019-06-30,3.54,$0.40,8.86
2019-03-31,3.44,$0.60,5.74
2018-12-31,3.25,$0.50,6.49
2018-09-30,3.74,$1.02,3.66
2018-06-30,3.34,$0.82,4.07
2018-03-31,3.17,$0.65,4.88
2017-12-31,3.18,$0.56,5.67
2017-09-30,3.08,$0.50,6.16
2017-06-30,3.61,$0.70,5.16
2017-03-31,3.9,$0.83,4.7
2016-12-31,3.51,$0.99,3.54
2016-09-30,3.3,$0.44,7.5
2016-06-30,3.09,$0.29,10.66
2016-03-31,2.78,$0.28,9.93
2015-12-31,2.57,$0.30,8.57
2015-09-30,2.54,$0.81,3.13
2015-06-30,2.54,$0.97,2.62
2015-03-31,2.82,$0.92,3.06
2014-12-31,2.67,$0.95,2.81
2014-09-30,3.08,$1.01,3.05
2014-06-30,3.21,$1.08,2.97
2014-03-31,3.16,$1.21,2.61
2013-12-31,3.18,$1.15,2.77
2013-09-30,3.08,$1.09,2.82
2013-06-30,2.89,$1.07,2.7
2013-03-31,2.83,$1.02,2.77
2012-12-31,2.74,$1.26,2.17
2012-09-30,2.82,$1.61,1.75
2012-06-30,2.71,$1.69,1.61
2012-03-31,2.55,$1.68,1.52
2011-12-31,2.09,$1.62,1.29
2011-09-30,1.84,$1.41,1.3
2011-06-30,2.13,$1.38,1.55
2011-03-31,2.51,$1.35,1.86
2010-12-31,2.16,$1.38,1.57
2010-09-30,1.89,$1.29,1.46
2010-06-30,1.82,$1.20,1.52
2010-03-31,2.27,$1.27,1.78
2009-12-31,2.06,$1.25,1.65
