Surrozen PE Ratio Historical Data,Surrozen PE Ratio Historical Data,Surrozen PE Ratio Historical Data,Surrozen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.79,,0.0
2024-09-30,11.98,$-12.67,0.0
2024-06-30,10.95,$-17.33,0.0
2024-03-31,15.71,$-13.99,0.0
2023-12-31,9.4,$-16.94,0.0
2023-09-30,0.49,$-17.39,0.0
2023-06-30,0.55,$-17.99,0.0
2023-03-31,0.6,$-19.34,0.0
2022-12-31,0.58,$-15.59,0.0
2022-09-30,2.02,$-20.39,0.0
2022-06-30,3.0,$-22.34,0.0
2022-03-31,3.01,$-16.34,0.0
2021-12-31,6.44,$-12.89,0.0
