Karyopharm Therapeutics PE Ratio Historical Data,Karyopharm Therapeutics PE Ratio Historical Data,Karyopharm Therapeutics PE Ratio Historical Data,Karyopharm Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.14,,0.0
2024-12-31,0.68,$-15.29,0.0
2024-09-30,0.83,$-17.09,0.0
2024-06-30,0.87,$-17.69,0.0
2024-03-31,1.51,$-19.04,0.0
2023-12-31,0.87,$-18.74,0.0
2023-09-30,1.34,$-19.79,0.0
2023-06-30,1.79,$-22.04,0.0
2023-03-31,3.89,$-26.99,0.0
2022-12-31,3.4,$-30.43,0.0
2022-09-30,5.46,$-17.09,0.0
2022-06-30,4.51,$-20.69,0.0
2022-03-31,7.37,$-22.04,0.0
2021-12-31,6.43,$-25.64,0.0
2021-09-30,5.82,$-41.38,0.0
2021-06-30,10.32,$-41.98,0.0
2021-03-31,10.52,$-40.78,0.0
2020-12-31,15.48,$-40.93,0.0
2020-09-30,14.6,$-43.48,0.0
2020-06-30,18.94,$-42.58,0.0
2020-03-31,19.21,$-43.78,0.0
2019-12-31,19.17,$-48.43,0.0
2019-09-30,9.62,$-51.42,0.0
2019-06-30,5.99,$-53.22,0.0
2019-03-31,5.84,$-51.57,0.0
2018-12-31,9.37,$-46.93,0.0
2018-09-30,17.03,$-44.53,0.0
2018-06-30,16.99,$-42.43,0.0
2018-03-31,13.42,$-43.03,0.0
2017-12-31,9.6,$-41.98,0.0
2017-09-30,10.98,$-39.73,0.0
2017-06-30,9.05,$-40.33,0.0
2017-03-31,12.84,$-43.33,0.0
2016-12-31,9.4,$-43.93,0.0
2016-09-30,9.73,$-46.33,0.0
2016-06-30,6.71,$-48.73,0.0
2016-03-31,8.92,$-49.93,0.0
2015-12-31,13.25,$-49.78,0.0
2015-09-30,10.53,$-49.48,0.0
2015-06-30,27.21,$-45.88,0.0
2015-03-31,30.61,$-40.33,0.0
2014-12-31,37.43,$-36.13,0.0
2014-09-30,34.94,$-24.29,0.0
