Citi Trends PE Ratio Historical Data,Citi Trends PE Ratio Historical Data,Citi Trends PE Ratio Historical Data,Citi Trends PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.11,,0.0
2024-10-31,18.89,$-3.07,0.0
2024-07-31,19.61,$-2.68,0.0
2024-04-30,21.44,$-1.08,0.0
2024-01-31,26.93,$-1.47,0.0
2023-10-31,24.1,$-1.08,0.0
2023-07-31,18.85,$2.41,7.82
2023-04-30,17.26,$2.71,6.37
2023-01-31,31.48,$7.11,4.43
2022-10-31,22.61,$7.46,3.03
2022-07-31,24.58,$5.47,4.49
2022-04-30,27.97,$7.14,3.92
2022-01-31,48.72,$6.78,7.19
2021-10-31,77.36,$7.43,10.41
2021-07-31,79.75,$7.07,11.28
2021-04-30,104.6,$7.61,13.75
2021-01-31,59.0,$2.38,24.79
2020-10-31,26.11,$1.41,18.52
2020-07-31,17.22,$0.65,26.49
2020-04-30,11.36,$-1.22,0.0
2020-01-31,23.19,$1.43,16.22
2019-10-31,17.71,$1.18,15.01
2019-07-31,15.16,$1.23,12.32
2019-04-30,18.17,$1.44,12.62
2019-01-31,20.04,$1.62,12.37
2018-10-31,24.68,$1.41,17.5
2018-07-31,27.61,$1.50,18.4
2018-04-30,29.68,$1.25,23.75
2018-01-31,22.7,$1.02,22.25
2017-10-31,20.95,$1.02,20.53
2017-07-31,21.23,$0.91,23.33
2017-04-30,17.93,$0.91,19.7
2017-01-31,15.26,$0.91,16.77
2016-10-31,18.82,$0.77,24.45
2016-07-31,15.76,$0.87,18.12
2016-04-30,16.91,$0.89,19.0
2016-01-31,19.39,$1.03,18.82
2015-10-31,24.86,$1.10,22.6
2015-07-31,22.22,$0.91,24.42
2015-04-30,21.26,$0.73,29.13
2015-01-31,21.37,$0.60,35.61
2014-10-31,21.14,$0.39,54.21
2014-07-31,18.81,$0.43,43.74
2014-04-30,15.86,$0.23,68.95
2014-01-31,14.93,$0.04,373.36
2013-10-31,13.7,$-0.11,0.0
2013-07-31,13.15,$-0.25,0.0
2013-04-30,10.99,$-0.42,0.0
2013-01-31,12.08,$-0.15,0.0
2012-10-31,11.46,$-0.46,0.0
2012-07-31,14.03,$-0.67,0.0
2012-04-30,10.4,$-0.82,0.0
2012-01-31,8.4,$-0.68,0.0
2011-10-31,11.56,$0.32,36.14
2011-07-31,13.1,$0.75,17.46
2011-04-30,20.78,$1.40,14.84
2011-01-31,21.38,$1.43,14.95
2010-10-31,19.58,$1.57,12.47
2010-07-31,29.3,$1.64,17.87
2010-04-30,31.31,$1.68,18.63
2010-01-31,29.06,$1.36,21.37
2009-10-31,24.58,$1.28,19.2
