C&F Financial PE Ratio Historical Data,C&F Financial PE Ratio Historical Data,C&F Financial PE Ratio Historical Data,C&F Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.79,,12.24
2024-12-31,71.25,$6.03,11.82
2024-09-30,58.02,$5.66,10.25
2024-06-30,47.57,$5.72,8.32
2024-03-31,47.89,$6.06,7.9
2023-12-31,66.04,$6.91,9.56
2023-09-30,51.57,$8.38,6.15
2023-06-30,51.25,$8.52,6.02
2023-03-31,48.96,$8.59,5.7
2022-12-31,54.76,$8.32,6.58
2022-09-30,49.9,$7.02,7.11
2022-06-30,42.51,$7.33,5.8
2022-03-31,46.35,$7.61,6.09
2021-12-31,46.59,$7.94,5.87
2021-09-30,47.96,$8.46,5.67
2021-06-30,45.7,$8.16,5.6
2021-03-31,39.38,$7.00,5.63
2020-12-31,32.75,$6.06,5.4
2020-09-30,25.94,$5.14,5.05
2020-06-30,28.68,$4.70,6.1
2020-03-31,34.04,$5.36,6.35
2019-12-31,46.65,$5.46,8.54
2019-09-30,44.09,$5.32,8.29
2019-06-30,45.4,$5.36,8.47
2019-03-31,41.76,$5.12,8.16
2018-12-31,43.6,$5.15,8.47
2018-09-30,47.79,$3.07,15.57
2018-06-30,50.58,$2.48,20.39
2018-03-31,42.29,$2.22,19.05
2017-12-31,46.32,$1.89,24.51
2017-09-30,43.68,$3.73,11.71
2017-06-30,37.0,$3.77,9.81
2017-03-31,36.28,$3.95,9.18
2016-12-31,38.76,$3.87,10.02
2016-09-30,33.28,$3.66,9.09
2016-06-30,34.32,$3.77,9.1
2016-03-31,29.07,$3.61,8.05
2015-12-31,29.44,$3.68,8.0
2015-09-30,27.31,$3.71,7.36
2015-06-30,27.5,$3.65,7.53
2015-03-31,25.73,$3.53,7.29
2014-12-31,29.01,$3.59,8.08
2014-09-30,24.1,$3.69,6.53
2014-06-30,25.85,$3.70,6.99
2014-03-31,23.61,$3.83,6.16
2013-12-31,32.28,$4.19,7.7
2013-09-30,33.98,$4.55,7.47
2013-06-30,38.91,$4.94,7.88
2013-03-31,28.43,$4.94,5.76
2012-12-31,26.85,$4.86,5.52
2012-09-30,26.9,$4.71,5.71
2012-06-30,27.27,$4.31,6.33
2012-03-31,20.07,$3.97,5.06
2011-12-31,17.78,$3.71,4.79
2011-09-30,15.43,$3.36,4.59
2011-06-30,13.91,$3.14,4.43
2011-03-31,14.84,$2.62,5.66
2010-12-31,14.25,$2.24,6.36
2010-09-30,11.67,$1.67,6.99
2010-06-30,11.21,$1.38,8.12
2010-03-31,12.08,$1.50,8.05
2009-12-31,11.54,$1.44,8.02
