Home BancShares PE Ratio Historical Data,Home BancShares PE Ratio Historical Data,Home BancShares PE Ratio Historical Data,Home BancShares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.11,,13.92
2024-12-31,28.3,$2.02,14.01
2024-09-30,26.92,$1.94,13.88
2024-06-30,23.63,$1.93,12.24
2024-03-31,24.06,$1.94,12.4
2023-12-31,24.61,$1.95,12.62
2023-09-30,20.18,$2.09,9.65
2023-06-30,21.79,$2.13,10.23
2023-03-31,20.57,$1.69,12.17
2022-12-31,21.43,$1.58,13.57
2022-09-30,21.04,$1.46,14.41
2022-06-30,19.29,$1.39,13.87
2022-03-31,20.82,$1.79,11.63
2021-12-31,22.28,$1.94,11.48
2021-09-30,21.41,$1.99,10.76
2021-06-30,22.32,$1.95,11.45
2021-03-31,24.34,$1.85,13.16
2020-12-31,17.42,$1.30,13.4
2020-09-30,13.46,$1.24,10.85
2020-06-30,13.56,$1.26,10.76
2020-03-31,10.46,$1.31,7.99
2019-12-31,17.04,$1.73,9.85
2019-09-30,16.18,$1.70,9.52
2019-06-30,16.46,$1.72,9.57
2019-03-31,14.91,$1.73,8.62
2018-12-31,13.78,$1.73,7.97
2018-09-30,18.36,$1.45,12.66
2018-06-30,18.82,$1.09,17.26
2018-03-31,18.94,$1.00,18.94
2017-12-31,19.21,$0.91,21.11
2017-09-30,20.73,$1.13,18.35
2017-06-30,20.38,$1.34,15.21
2017-03-31,22.08,$1.30,16.98
2016-12-31,22.57,$1.27,17.84
2016-09-30,16.85,$1.19,14.22
2016-06-30,15.96,$1.14,14.06
2016-03-31,16.44,$1.08,15.3
2015-12-31,16.21,$1.01,16.05
2015-09-30,16.15,$0.96,16.82
2015-06-30,14.52,$0.91,16.05
2015-03-31,13.41,$0.87,15.42
2014-12-31,12.68,$0.85,14.92
2014-09-30,11.56,$0.73,15.94
2014-06-30,12.86,$0.69,18.77
2014-03-31,13.45,$0.63,21.52
2013-12-31,14.56,$0.57,25.54
2013-09-30,11.82,$0.63,18.91
2013-06-30,10.07,$0.60,16.72
2013-03-31,7.28,$0.59,12.44
2012-12-31,6.36,$0.56,11.4
2012-09-30,6.51,$0.53,12.23
2012-06-30,5.82,$0.51,11.41
2012-03-31,5.05,$0.49,10.35
2011-12-31,4.89,$0.47,10.52
2011-09-30,3.99,$0.21,19.02
2011-06-30,4.43,$0.17,26.08
2011-03-31,4.26,$0.13,32.75
2010-12-31,4.11,$0.15,27.42
2010-09-30,3.78,$0.35,10.97
2010-06-30,4.24,$0.34,12.47
2010-03-31,4.46,$0.32,13.95
2009-12-31,4.05,$0.26,15.68
