VALE S.A PE Ratio Historical Data,VALE S.A PE Ratio Historical Data,VALE S.A PE Ratio Historical Data,VALE S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.14,,4.69
2024-09-30,11.57,$2.16,5.36
2024-06-30,10.67,$2.26,4.72
2024-03-31,11.64,$1.81,6.43
2023-12-31,14.5,$1.83,7.93
2023-09-30,11.88,$2.09,5.69
2023-06-30,11.54,$2.41,4.79
2023-03-31,13.57,$3.53,3.84
2022-12-31,14.28,$4.05,3.53
2022-09-30,11.17,$4.30,2.6
2022-06-30,11.68,$4.08,2.86
2022-03-31,15.96,$4.25,3.76
2021-12-31,10.78,$4.41,2.44
2021-09-30,10.72,$3.48,3.08
2021-06-30,15.92,$3.29,4.84
2021-03-31,11.9,$1.99,5.98
2020-12-31,11.0,$0.95,11.58
2020-09-30,6.95,$0.51,13.62
2020-06-30,6.51,$0.26,25.03
2020-03-31,5.23,$0.04,130.82
2019-12-31,8.33,$-0.33,0.0
2019-09-30,7.12,$0.70,10.17
2019-06-30,8.32,$0.65,12.8
2019-03-31,8.08,$0.69,11.72
2018-12-31,8.16,$1.31,6.23
2018-09-30,9.19,$0.73,12.58
2018-06-30,7.74,$0.89,8.7
2018-03-31,7.68,$0.88,8.73
2017-12-31,7.3,$1.06,6.89
2017-09-30,5.95,$1.01,5.89
2017-06-30,5.17,$0.69,7.49
2017-03-31,5.43,$0.90,6.04
2016-12-31,4.36,$0.76,5.74
2016-09-30,3.13,$-1.00,0.0
2016-06-30,2.88,$-1.52,0.0
2016-03-31,2.39,$-1.40,0.0
2015-12-31,1.87,$-2.35,0.0
2015-09-30,2.34,$-1.05,0.0
2015-06-30,3.28,$-0.92,0.0
2015-03-31,3.11,$-0.97,0.0
2014-12-31,4.51,$0.13,34.65
2014-09-30,5.85,$-0.76,0.0
2014-06-30,7.03,$0.20,35.14
2014-03-31,7.14,0,0.0
2013-12-31,7.87,$0.11,71.57
2013-09-30,7.88,$0.85,9.27
2013-06-30,6.64,$0.49,13.54
2013-03-31,8.57,$0.93,9.21
2012-12-31,10.39,$1.07,9.71
2012-09-30,8.77,$2.48,3.54
2012-06-30,9.72,$3.09,3.15
2012-03-31,11.2,$3.79,2.96
2011-12-31,10.3,$4.34,2.37
2011-09-30,10.72,$4.56,2.35
2011-06-30,14.7,$4.76,3.09
2011-03-31,15.2,$4.24,3.58
2010-12-31,15.62,$3.25,4.81
2010-09-30,14.09,$2.41,5.85
2010-06-30,10.97,$1.59,6.9
2010-03-31,14.42,$1.04,13.87
2009-12-31,13.01,$1.00,13.01
