SuperCom PE Ratio Historical Data,SuperCom PE Ratio Historical Data,SuperCom PE Ratio Historical Data,SuperCom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.32,,18.3
2024-06-30,4.0,$0.40,10.0
2024-03-31,3.32,$-5.00,0.0
2023-12-31,7.72,$-11.80,0.0
2023-09-30,8.38,$-10.20,0.0
2023-06-30,19.92,$-18.60,0.0
2023-03-31,28.8,$-28.40,0.0
2022-12-31,35.6,$-36.40,0.0
2022-09-30,56.8,$-100.00,0.0
2022-06-30,65.52,$-110.00,0.0
2022-03-31,114.96,$-104.00,0.0
2021-12-31,111.0,$-90.00,0.0
2021-09-30,199.0,$-26.00,0.0
2021-06-30,270.0,$-6.00,0.0
2021-03-31,322.0,$2.00,161.0
2020-06-30,320.0,$4.00,80.0
2019-06-30,216.0,$4.00,54.0
2018-12-31,276.0,$-2.00,0.0
2018-09-30,358.0,$-66.00,0.0
2018-06-30,468.0,$-60.00,0.0
2018-03-31,546.0,$-68.00,0.0
2017-12-31,782.0,$-90.00,0.0
2017-09-30,700.0,$-26.00,0.0
2017-06-30,638.0,$-54.00,0.0
2017-03-31,572.0,$-66.00,0.0
2016-12-31,678.0,$-38.00,0.0
2016-09-30,686.0,$-46.00,0.0
2016-06-30,760.0,$-26.00,0.0
2016-03-31,796.0,$10.00,79.6
2015-12-31,1044.0,$38.00,27.47
2015-09-30,1600.0,$32.00,50.0
2015-06-30,2536.0,$86.00,29.49
2015-03-31,1678.0,$102.00,16.45
2014-12-31,2042.0,$92.00,22.2
2014-09-30,2470.0,$124.00,19.92
2014-06-30,2054.0,$100.00,20.54
2014-03-31,1274.0,$124.00,10.27
2013-12-31,924.0,$129.50,7.14
2013-09-30,958.0,$145.50,6.58
2013-06-30,442.0,$124.00,3.56
2013-03-31,340.0,$144.50,2.35
2012-12-31,119.0,$127.50,0.93
2012-09-30,119.0,$153.00,0.78
2012-06-30,127.5,$127.50,1.0
2012-03-31,136.0,$85.00,1.6
2011-12-31,76.5,$59.50,1.29
2011-09-30,102.0,$8.50,12.0
2011-06-30,102.0,$-51.00,0.0
2011-03-31,59.5,$-85.00,0.0
2010-12-31,59.5,$-195.50,0.0
2010-09-30,85.0,$-204.00,0.0
2010-06-30,136.0,$-204.00,0.0
2010-03-31,127.5,$-331.49,0.0
2009-12-31,170.0,$-356.99,0.0
