Westamerica Bancorporation PE Ratio Historical Data,Westamerica Bancorporation PE Ratio Historical Data,Westamerica Bancorporation PE Ratio Historical Data,Westamerica Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.39,,9.88
2024-12-31,52.46,$5.20,10.09
2024-09-30,48.99,$5.49,8.92
2024-06-30,47.68,$5.74,8.31
2024-03-31,47.6,$5.92,8.04
2023-12-31,54.41,$6.06,8.98
2023-09-30,41.35,$6.04,6.85
2023-06-30,36.29,$5.77,6.29
2023-03-31,41.53,$5.20,7.99
2022-12-31,54.91,$4.53,12.12
2022-09-30,48.33,$3.88,12.46
2022-06-30,51.08,$3.41,14.98
2022-03-31,55.12,$3.31,16.65
2021-12-31,52.22,$3.22,16.22
2021-09-30,50.51,$3.30,15.31
2021-06-30,51.72,$3.22,16.06
2021-03-31,55.6,$3.10,17.93
2020-12-31,48.62,$2.98,16.31
2020-09-30,47.42,$2.86,16.58
2020-06-30,49.76,$2.87,17.34
2020-03-31,50.6,$2.88,17.57
2019-12-31,57.97,$2.98,19.45
2019-09-30,52.86,$2.92,18.1
2019-06-30,52.03,$2.80,18.58
2019-03-31,52.19,$2.74,19.05
2018-12-31,46.72,$2.67,17.5
2018-09-30,50.15,$2.12,23.65
2018-06-30,46.8,$2.06,22.72
2018-03-31,47.76,$1.99,24.0
2017-12-31,48.63,$1.90,25.6
2017-09-30,48.29,$2.30,20.99
2017-06-30,45.12,$2.34,19.28
2017-03-31,44.63,$2.31,19.32
2016-12-31,49.95,$2.30,21.72
2016-09-30,40.07,$2.31,17.34
2016-06-30,38.47,$2.28,16.87
2016-03-31,37.72,$2.29,16.47
2015-12-31,35.88,$2.30,15.6
2015-09-30,33.82,$2.31,14.64
2015-06-30,38.25,$2.31,16.56
2015-03-31,32.35,$2.31,14.0
2014-12-31,36.36,$2.32,15.67
2014-09-30,34.24,$2.34,14.63
2014-06-30,38.18,$2.39,15.97
2014-03-31,39.2,$2.45,16.0
2013-12-31,40.61,$2.51,16.18
2013-09-30,35.52,$2.61,13.61
2013-06-30,32.38,$2.71,11.95
2013-03-31,31.85,$2.82,11.29
2012-12-31,29.67,$2.93,10.13
2012-09-30,32.51,$3.00,10.84
2012-06-30,32.34,$3.06,10.57
2012-03-31,32.63,$3.05,10.7
2011-12-31,29.61,$3.07,9.64
2011-09-30,25.63,$3.11,8.24
2011-06-30,32.68,$3.13,10.44
2011-03-31,33.84,$3.19,10.61
2010-12-31,36.29,$3.22,11.27
2010-09-30,35.39,$3.20,11.06
2010-06-30,33.89,$3.20,10.59
2010-03-31,36.98,$3.15,11.74
2009-12-31,35.27,$4.15,8.5
