Foghorn Therapeutics PE Ratio Historical Data,Foghorn Therapeutics PE Ratio Historical Data,Foghorn Therapeutics PE Ratio Historical Data,Foghorn Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.12,,0.0
2024-12-31,4.72,$-1.65,0.0
2024-09-30,9.31,$-1.92,0.0
2024-06-30,5.75,$-1.95,0.0
2024-03-31,6.71,$-2.20,0.0
2023-12-31,6.45,$-2.34,0.0
2023-09-30,5.0,$-2.46,0.0
2023-06-30,7.04,$-2.74,0.0
2023-03-31,6.2,$-2.70,0.0
2022-12-31,6.38,$-2.62,0.0
2022-09-30,8.58,$-2.70,0.0
2022-06-30,13.6,$-2.79,0.0
2022-03-31,15.23,$-2.76,0.0
2021-12-31,22.87,$-2.73,0.0
2021-09-30,13.93,$-1.96,0.0
