Campbell's PE Ratio Historical Data,Campbell's PE Ratio Historical Data,Campbell's PE Ratio Historical Data,Campbell's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.98,,21.95
2025-01-31,38.77,$1.73,22.41
2024-10-31,46.65,$1.83,25.49
2024-07-31,46.5,$1.89,24.6
2024-04-30,44.99,$2.47,18.21
2024-01-31,43.55,$2.56,17.01
2023-10-31,39.1,$2.65,14.76
2023-07-31,43.93,$2.86,15.36
2023-04-30,51.65,$2.61,19.79
2023-01-31,49.07,$2.70,18.17
2022-10-31,49.66,$2.63,18.88
2022-07-31,45.96,$2.50,18.39
2022-04-30,43.65,$3.13,13.94
2022-01-31,40.45,$3.03,13.35
2021-10-31,36.32,$3.13,11.6
2021-07-31,39.41,$3.29,11.98
2021-04-30,42.69,$2.62,16.29
2021-01-31,42.69,$2.65,16.11
2020-10-31,41.09,$5.82,7.06
2020-07-31,43.33,$5.35,8.1
2020-04-30,43.38,$5.04,8.61
2020-01-31,41.69,$4.77,8.74
2019-10-31,39.61,$0.60,66.01
2019-07-31,35.09,$0.69,50.86
2019-04-30,32.56,$1.03,31.62
2019-01-31,29.56,$-0.56,0.0
2018-10-31,31.21,$0.59,52.9
2018-07-31,33.8,$0.86,39.3
2018-04-30,33.42,$1.59,21.02
2018-01-31,37.84,$3.48,10.87
2017-10-31,38.22,$2.86,13.36
2017-07-31,42.3,$2.89,14.64
2017-04-30,45.76,$1.59,28.78
2017-01-31,49.19,$1.60,30.74
2016-10-31,42.7,$2.12,20.14
2016-07-31,48.62,$1.80,27.01
2016-04-30,47.96,$2.28,21.03
2016-01-31,43.62,$2.27,19.22
2015-10-31,39.04,$2.08,18.77
2015-07-31,37.67,$2.20,17.12
2015-04-30,33.93,$2.41,14.08
2015-01-31,34.48,$2.41,14.31
2014-10-31,33.07,$2.78,11.9
2014-07-31,30.91,$2.58,11.98
2014-04-30,33.58,$1.65,20.35
2014-01-31,30.21,$1.64,18.42
2013-10-31,30.98,$1.21,25.6
2013-07-31,33.8,$1.45,23.31
2013-04-30,33.3,$2.35,14.17
2013-01-31,26.34,$2.33,11.3
2012-10-31,24.7,$2.37,10.42
2012-07-31,23.0,$2.41,9.54
2012-04-30,23.29,$2.32,10.04
2012-01-31,21.64,$2.34,9.25
2011-10-31,22.5,$2.41,9.34
2011-07-31,22.17,$2.41,9.2
2011-04-30,22.34,$2.43,9.19
2011-01-31,22.51,$2.35,9.58
2010-10-31,23.7,$2.38,9.96
2010-07-31,23.3,$2.43,9.59
2010-04-30,23.09,$2.30,10.04
2010-01-31,21.16,$2.30,9.2
2009-10-31,20.12,$2.20,9.15
