Utz Brands PE Ratio Historical Data,Utz Brands PE Ratio Historical Data,Utz Brands PE Ratio Historical Data,Utz Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.59,,75.5
2024-12-31,15.66,$0.18,87.0
2024-09-30,17.64,$-0.19,0.0
2024-06-30,16.52,$0.03,550.55
2024-03-31,18.16,$-0.25,0.0
2023-12-31,15.99,$-0.31,0.0
2023-09-30,13.17,$0.21,62.74
2023-06-30,15.99,$0.01,0.0
2023-03-31,15.99,$0.10,159.86
2022-12-31,15.39,$-0.01,0.0
2022-09-30,14.61,$-0.29,0.0
2022-06-30,13.32,$0.12,111.02
2022-03-31,14.13,$0.29,48.74
2021-12-31,15.25,$0.21,72.63
2021-09-30,16.33,$0.18,90.71
2021-06-30,20.71,$-0.22,0.0
2021-03-31,23.47,$-0.43,0.0
2020-12-31,20.88,$-0.10,0.0
2020-09-30,16.9,$0.03,563.29
2020-06-30,12.9,$0.08,161.22
2020-03-31,9.63,$0.14,68.79
2019-12-31,9.68,$0.17,56.93
2019-09-30,9.59,$0.17,56.43
