Ampco-Pittsburgh PE Ratio Historical Data,Ampco-Pittsburgh PE Ratio Historical Data,Ampco-Pittsburgh PE Ratio Historical Data,Ampco-Pittsburgh PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.16,,0.0
2024-09-30,2.0,$-2.26,0.0
2024-06-30,0.77,$-2.12,0.0
2024-03-31,2.17,$-2.20,0.0
2023-12-31,2.73,$-2.03,0.0
2023-09-30,2.63,$0.07,37.57
2023-06-30,3.18,$0.07,45.43
2023-03-31,2.45,$0.07,35.0
2022-12-31,2.51,$0.12,20.92
2022-09-30,3.68,$-0.51,0.0
2022-06-30,3.87,$-0.63,0.0
2022-03-31,6.31,$-0.60,0.0
2021-12-31,5.0,$-0.67,0.0
2021-09-30,4.7,$0.10,47.0
2021-06-30,6.07,$0.25,24.28
2021-03-31,6.75,$0.25,27.0
2020-12-31,5.48,$0.57,9.61
2020-09-30,3.29,$0.69,4.77
2020-06-30,3.07,$0.22,13.95
2020-03-31,2.5,$-0.14,0.0
2019-12-31,3.01,$-1.68,0.0
2019-09-30,3.68,$-6.74,0.0
2019-06-30,4.03,$-6.90,0.0
2019-03-31,3.3,$-6.83,0.0
2018-12-31,3.1,$-5.54,0.0
2018-09-30,5.9,$-0.98,0.0
2018-06-30,10.25,$-0.60,0.0
2018-03-31,8.9,$-0.52,0.0
2017-12-31,12.4,$-0.99,0.0
2017-09-30,17.4,$-4.24,0.0
2017-06-30,14.75,$-5.94,0.0
2017-03-31,13.98,$-6.31,0.0
2016-12-31,16.56,$-6.18,0.0
2016-09-30,10.87,$-2.35,0.0
2016-06-30,11.01,$-0.61,0.0
2016-03-31,13.48,$-0.13,0.0
2015-12-31,9.75,$0.14,69.67
2015-09-30,10.21,$-0.38,0.0
2015-06-30,13.98,$-0.27,0.0
2015-03-31,15.97,$-0.11,0.0
2014-12-31,17.44,$-0.11,0.0
2014-09-30,17.94,$-0.05,0.0
2014-06-30,20.41,$1.20,17.01
2014-03-31,16.64,$1.20,13.87
2013-12-31,16.98,$1.20,14.15
2013-09-30,15.49,$1.66,9.33
2013-06-30,16.08,$0.59,27.25
2013-03-31,16.03,$0.63,25.45
2012-12-31,16.79,$0.81,20.73
2012-09-30,15.35,$0.66,23.26
2012-06-30,15.1,$0.77,19.61
2012-03-31,16.43,$1.50,10.96
2011-12-31,15.65,$2.05,7.63
2011-09-30,16.42,$0.94,17.47
2011-06-30,18.69,$1.41,13.26
2011-03-31,21.82,$1.44,15.16
2010-12-31,22.05,$1.50,14.7
2010-09-30,19.38,$2.82,6.87
2010-06-30,16.13,$2.94,5.49
2010-03-31,19.08,$2.80,6.82
2009-12-31,24.1,$2.72,8.86
