Triller Group PE Ratio Historical Data,Triller Group PE Ratio Historical Data,Triller Group PE Ratio Historical Data,Triller Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.83,,0.0
2024-09-30,19.58,$-1.22,0.0
2024-06-30,25.28,$-1.32,0.0
2024-03-31,3.59,$-1.36,0.0
2023-12-31,4.01,$-1.55,0.0
2023-09-30,4.96,$-1.14,0.0
2023-06-30,11.9,$-0.45,0.0
2023-03-31,13.39,$-0.43,0.0
2022-12-31,12.72,$-0.39,0.0
2022-09-30,94.52,$-2.15,0.0
2022-06-30,93.86,$-2.52,0.0
2022-03-31,92.21,$-2.38,0.0
2021-12-31,91.05,$-2.15,0.0
2021-09-30,89.89,$-0.58,0.0
2021-06-30,88.65,$-0.58,0.0
2021-03-31,87.33,$-0.45,0.0
2020-12-31,87.08,$-0.45,0.0
2020-09-30,85.76,$-0.29,0.0
2020-06-30,84.52,$-0.35,0.0
