NexPoint Residential Trust PE Ratio Historical Data,NexPoint Residential Trust PE Ratio Historical Data,NexPoint Residential Trust PE Ratio Historical Data,NexPoint Residential Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.29,,0.0
2024-12-31,41.75,$-0.01,0.0
2024-09-30,43.52,$1.75,24.87
2024-06-30,38.68,$3.38,11.44
2024-03-31,31.12,$2.83,11.0
2023-12-31,32.78,$1.68,19.51
2023-09-30,30.25,$1.13,26.77
2023-06-30,42.26,$-0.17,0.0
2023-03-31,40.2,$-0.32,0.0
2022-12-31,39.69,$-0.35,0.0
2022-09-30,41.76,$1.00,41.76
2022-06-30,56.09,$0.81,69.24
2022-03-31,80.53,$0.97,83.02
2021-12-31,74.43,$0.88,84.58
2021-09-30,54.67,$-0.79,0.0
2021-06-30,48.31,$0.61,79.19
2021-03-31,40.25,$0.37,108.8
2020-12-31,36.68,$1.72,21.32
2020-09-30,38.14,$1.36,28.05
2020-06-30,30.18,$5.01,6.02
2020-03-31,21.33,$5.31,4.02
2019-12-31,37.78,$4.05,9.33
2019-09-30,38.98,$4.37,8.92
2019-06-30,34.31,$-0.72,0.0
2019-03-31,31.56,$-0.72,0.0
2018-12-31,28.63,$-0.07,0.0
2018-09-30,26.91,$-0.06,0.0
2018-06-30,22.88,$2.70,8.47
2018-03-31,19.79,$3.12,6.34
2017-12-31,22.04,$2.48,8.89
2017-09-30,18.55,$2.69,6.89
2017-06-30,19.27,$0.51,37.79
2017-03-31,18.55,$0.86,21.57
2016-12-31,16.98,$1.04,16.33
2016-09-30,14.79,$0.93,15.9
2016-06-30,13.54,$0.56,24.18
2016-03-31,9.61,$-0.24,0.0
2015-12-31,9.46,$-0.50,0.0
