Oportun Financial PE Ratio Historical Data,Oportun Financial PE Ratio Historical Data,Oportun Financial PE Ratio Historical Data,Oportun Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.2,,0.0
2024-12-31,3.88,$-2.01,0.0
2024-09-30,2.81,$-3.30,0.0
2024-06-30,2.9,$-3.10,0.0
2024-03-31,2.43,$-2.73,0.0
2023-12-31,3.91,$-5.05,0.0
2023-09-30,7.22,$-4.21,0.0
2023-06-30,5.97,$-6.87,0.0
2023-03-31,3.86,$-6.74,0.0
2022-12-31,5.51,$-2.37,0.0
2022-09-30,4.37,$-1.66,0.0
2022-06-30,8.27,$2.30,3.6
2022-03-31,14.36,$2.82,5.09
2021-12-31,20.25,$1.55,13.06
2021-09-30,25.03,$1.38,18.14
2021-06-30,20.03,$0.41,48.85
2021-03-31,20.71,$-1.09,0.0
2020-12-31,19.37,$-1.68,0.0
2020-09-30,11.79,$-1.16,0.0
2020-06-30,13.44,$-7.33,0.0
