Argenex SE PE Ratio Historical Data,Argenex SE PE Ratio Historical Data,Argenex SE PE Ratio Historical Data,Argenex SE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,613.04,,0.0
2024-09-30,542.08,$-1.09,0.0
2024-06-30,430.04,$-4.17,0.0
2023-12-31,380.43,$-5.14,0.0
2023-09-30,491.63,$-4.16,0.0
2023-06-30,389.73,$-7.17,0.0
2023-03-31,372.58,$-9.29,0.0
2022-12-31,378.83,$-13.13,0.0
2022-09-30,353.05,$-17.19,0.0
2022-06-30,378.88,$-17.33,0.0
2022-03-31,315.31,$-13.52,0.0
2021-12-31,350.19,$-9.97,0.0
2021-09-30,302.0,$-7.27,0.0
2021-06-30,301.07,$-2.87,0.0
2021-03-31,275.39,$-2.87,0.0
2020-03-31,131.73,$-2.06,0.0
2019-12-31,160.52,0,0.0
2019-06-30,141.58,0,0.0
2018-12-31,96.07,0,0.0
