Popular PE Ratio Historical Data,Popular PE Ratio Historical Data,Popular PE Ratio Historical Data,Popular PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.22,,10.54
2024-12-31,94.06,$8.56,10.99
2024-09-30,99.57,$7.36,13.53
2024-06-30,87.26,$7.10,12.29
2024-03-31,86.32,$6.74,12.81
2023-12-31,79.83,$7.53,10.6
2023-09-30,60.79,$9.78,6.22
2023-06-30,57.89,$13.58,4.26
2023-03-31,54.39,$14.25,3.82
2022-12-31,62.16,$14.72,4.22
2022-09-30,66.98,$13.74,4.88
2022-06-30,70.99,$11.13,6.38
2022-03-31,74.92,$11.02,6.8
2021-12-31,74.68,$11.45,6.52
2021-09-30,70.3,$10.97,6.41
2021-06-30,67.52,$9.88,6.83
2021-03-31,62.9,$8.71,7.22
2020-12-31,50.1,$5.96,8.41
2020-09-30,32.03,$5.58,5.74
2020-06-30,32.48,$5.28,6.15
2020-03-31,30.28,$5.55,5.46
2019-12-31,50.02,$6.87,7.28
2019-09-30,45.8,$6.20,7.39
2019-06-30,45.68,$5.88,7.77
2019-03-31,43.65,$6.85,6.37
2018-12-31,39.32,$6.05,6.5
2018-09-30,42.47,$3.99,10.65
2018-06-30,37.28,$2.80,13.32
2018-03-31,34.14,$1.01,33.8
2017-12-31,28.95,$1.01,28.66
2017-09-30,29.11,$1.97,14.78
2017-06-30,33.58,$2.22,15.13
2017-03-31,32.57,$2.13,15.29
2016-12-31,34.83,$2.05,16.99
2016-09-30,30.28,$3.42,8.85
2016-06-30,23.12,$3.80,6.08
2016-03-31,22.47,$8.74,2.57
2015-12-31,22.13,$8.65,2.56
2015-09-30,23.48,$7.83,3.0
2015-06-30,22.31,$7.61,2.93
2015-03-31,26.58,$-3.16,0.0
2014-12-31,26.32,$-3.05,0.0
2014-09-30,22.75,$-1.98,0.0
2014-06-30,26.42,$-0.36,0.0
2014-03-31,23.95,$7.81,3.07
2013-12-31,22.21,$5.80,3.83
2013-09-30,20.29,$5.04,4.03
2013-06-30,23.47,$3.27,7.18
2013-03-31,21.33,$0.71,30.04
2012-12-31,16.07,$2.39,6.72
2012-09-30,13.48,$1.58,8.53
2012-06-30,12.84,$1.43,8.98
2012-03-31,15.84,$1.90,8.34
2011-12-31,10.74,$1.50,7.16
2011-09-30,11.59,$-0.70,0.0
2011-06-30,21.33,$3.80,5.61
2011-03-31,22.57,$-0.20,0.0
2010-12-31,24.27,$-1.60,0.0
2010-09-30,22.41,$-2.70,0.0
2010-06-30,20.71,$6.50,3.19
2010-03-31,22.49,$2.00,11.25
2009-12-31,17.47,$0.60,29.11
