Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,84.13,,12.59
2024-12-31,77.41,$6.68,11.59
2024-09-30,85.17,$-0.90,0.0
2024-06-30,77.09,$5.15,14.97
2024-03-31,84.07,$5.24,16.04
2023-12-31,75.98,$2.45,31.01
2023-09-30,68.98,$6.07,11.36
2023-06-30,71.97,$6.47,11.12
2023-03-31,69.85,$16.83,4.15
2022-12-31,78.19,$18.83,4.15
2022-09-30,66.74,$20.63,3.24
2022-06-30,61.26,$16.45,3.72
2022-03-31,66.74,$5.83,11.45
2021-12-31,65.13,$6.27,10.39
2021-09-30,57.45,$6.21,9.25
2021-06-30,55.85,$5.74,9.73
2021-03-31,52.5,$5.87,8.94
2020-12-31,43.01,$5.04,8.53
2020-09-30,34.53,$4.41,7.83
2020-06-30,35.15,$4.54,7.74
2020-03-31,26.14,$4.46,5.86
2019-12-31,45.3,$4.95,9.15
2019-09-30,46.59,$4.71,9.89
2019-06-30,46.73,$5.32,8.78
2019-03-31,40.04,$5.53,7.24
2018-12-31,34.87,$5.36,6.51
2018-09-30,45.76,$7.40,6.18
2018-06-30,40.96,$8.57,4.78
2018-03-31,46.69,$8.05,5.8
2017-12-31,53.64,$7.88,6.81
2017-09-30,48.58,$6.10,7.96
2017-06-30,48.01,$4.40,10.91
2017-03-31,46.96,$4.44,10.58
2016-12-31,42.74,$4.50,9.5
2016-09-30,37.77,$4.27,8.85
2016-06-30,29.9,$4.22,7.08
2016-03-31,28.44,$3.93,7.24
2015-12-31,32.11,$4.07,7.89
2015-09-30,33.53,$4.12,8.14
2015-06-30,36.05,$3.88,9.29
2015-03-31,35.84,$4.10,8.74
2014-12-31,35.98,$3.66,9.83
2014-09-30,36.12,$3.53,10.23
2014-06-30,34.53,$3.58,9.65
2014-03-31,31.25,$3.30,9.47
2013-12-31,33.31,$2.96,11.25
2013-09-30,28.77,$2.92,9.85
2013-06-30,25.01,$2.70,9.26
2013-03-31,22.59,$2.53,8.93
2012-12-31,18.8,$2.58,7.29
2012-09-30,17.62,$2.38,7.4
2012-06-30,17.03,$1.98,8.6
2012-03-31,19.02,$2.20,8.64
2011-12-31,15.75,$2.14,7.36
2011-09-30,14.12,$2.22,6.36
2011-06-30,18.94,$2.46,7.7
2011-03-31,20.0,$2.08,9.61
2010-12-31,20.28,$2.07,9.8
2010-09-30,15.83,$1.89,8.37
2010-06-30,14.31,$2.02,7.09
2010-03-31,17.84,$2.12,8.41
2009-12-31,14.68,$1.96,7.49
