Larimar Therapeutics PE Ratio Historical Data,Larimar Therapeutics PE Ratio Historical Data,Larimar Therapeutics PE Ratio Historical Data,Larimar Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.51,,0.0
2024-09-30,6.55,$-1.15,0.0
2024-06-30,7.25,$-1.12,0.0
2024-03-31,7.59,$-0.97,0.0
2023-12-31,4.55,$-0.85,0.0
2023-09-30,3.95,$-0.76,0.0
2023-06-30,3.13,$-0.92,0.0
2023-03-31,4.53,$-1.20,0.0
2022-12-31,4.13,$-1.54,0.0
2022-09-30,3.2,$-1.83,0.0
2022-06-30,1.96,$-2.38,0.0
2022-03-31,4.05,$-2.70,0.0
2021-12-31,10.79,$-2.97,0.0
2021-09-30,11.53,$-3.36,0.0
2021-06-30,9.82,$-3.08,0.0
2021-03-31,14.61,$-3.50,0.0
2020-12-31,21.41,$-3.94,0.0
2020-09-30,15.17,$-5.33,0.0
2020-06-30,12.85,$-8.89,0.0
2020-03-31,9.24,$-11.52,0.0
2019-12-31,13.32,$-14.53,0.0
2019-09-30,8.87,$-16.93,0.0
2019-06-30,14.28,$-17.65,0.0
2019-03-31,32.88,$-20.65,0.0
2018-12-31,59.4,$-23.41,0.0
2018-09-30,140.28,$-24.49,0.0
2018-06-30,122.76,$-25.09,0.0
2018-03-31,89.4,$-24.13,0.0
2017-12-31,55.44,$-22.93,0.0
2017-09-30,42.24,$-21.73,0.0
2017-06-30,42.12,$-22.69,0.0
2017-03-31,55.92,$-23.41,0.0
2016-12-31,38.16,$-25.45,0.0
2016-09-30,39.72,$-31.09,0.0
2016-06-30,71.88,$-33.37,0.0
2016-03-31,80.16,$-34.69,0.0
2015-12-31,75.48,$-33.25,0.0
2015-09-30,383.4,$-28.81,0.0
2015-06-30,415.56,$-27.85,0.0
2015-03-31,475.32,$-55.46,0.0
