Aeries Technology PE Ratio Historical Data,Aeries Technology PE Ratio Historical Data,Aeries Technology PE Ratio Historical Data,Aeries Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.66,,0.41
2024-12-31,0.93,$1.62,0.57
2024-09-30,2.3,$0.47,4.89
2024-06-30,1.89,$0.52,3.63
2024-03-31,2.57,$0.91,2.82
2023-12-31,2.5,$-1.08,0.0
2023-09-30,10.58,0,0.0
2023-06-30,10.41,0,0.0
2023-03-31,10.35,0,0.0
2022-12-31,10.2,0,0.0
2022-09-30,10.0,0,0.0
