Helmerich & Payne PE Ratio Historical Data,Helmerich & Payne PE Ratio Historical Data,Helmerich & Payne PE Ratio Historical Data,Helmerich & Payne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.33,,8.33
2024-12-31,32.02,$3.04,10.53
2024-09-30,30.2,$3.44,8.78
2024-06-30,35.44,$3.45,10.27
2024-03-31,40.79,$3.50,11.66
2023-12-31,34.74,$4.19,8.29
2023-09-30,40.0,$4.16,9.61
2023-06-30,33.24,$3.81,8.72
2023-03-31,33.01,$3.04,10.86
2022-12-31,45.3,$1.44,31.46
2022-09-30,33.47,$0.05,669.38
2022-06-30,38.75,$-1.11,0.0
2022-03-31,38.28,$-1.79,0.0
2021-12-31,21.04,$-2.87,0.0
2021-09-30,24.1,$-3.05,0.0
2021-06-30,28.41,$-2.86,0.0
2021-03-31,23.28,$-2.77,0.0
2020-12-31,19.81,$-5.52,0.0
2020-09-30,12.35,$-4.59,0.0
2020-06-30,16.23,$-3.67,0.0
2020-03-31,12.52,$-4.66,0.0
2019-12-31,35.73,$-0.23,0.0
2019-09-30,30.98,$-0.33,0.0
2019-06-30,38.5,$-0.68,0.0
2019-03-31,41.74,$0.66,63.24
2018-12-31,35.56,$-0.01,0.0
2018-09-30,50.44,$4.37,11.54
2018-06-30,46.23,$4.14,11.17
2018-03-31,47.8,$4.01,11.92
2017-12-31,45.92,$3.68,12.48
2017-09-30,36.58,$-1.20,0.0
2017-06-30,37.54,$-1.67,0.0
2017-03-31,45.43,$-1.66,0.0
2016-12-31,52.28,$-1.02,0.0
2016-09-30,44.96,$-0.54,0.0
2016-06-30,44.35,$-0.06,0.0
2016-03-31,38.35,$0.97,39.53
2015-12-31,34.46,$2.15,16.03
2015-09-30,30.06,$3.85,7.81
2015-06-30,44.3,$5.58,7.94
2015-03-31,42.44,$6.50,6.53
2014-12-31,41.59,$6.72,6.19
2014-09-30,59.9,$6.46,9.27
2014-06-30,70.59,$6.40,11.03
2014-03-31,65.01,$7.11,9.14
2013-12-31,50.46,$6.91,7.3
2013-09-30,41.11,$6.80,6.05
2013-06-30,36.96,$6.79,5.44
2013-03-31,35.84,$5.71,6.28
2012-12-31,33.0,$5.50,6.0
2012-09-30,28.01,$5.34,5.24
2012-06-30,25.54,$4.99,5.12
2012-03-31,31.64,$4.62,6.85
2011-12-31,34.19,$4.35,7.86
2011-09-30,23.75,$3.99,5.95
2011-06-30,38.64,$3.65,10.59
2011-03-31,40.1,$2.30,17.43
2010-12-31,28.27,$1.82,15.53
2010-09-30,23.56,$1.45,16.25
2010-06-30,21.23,$1.16,18.31
2010-03-31,22.11,$2.00,11.06
2009-12-31,23.13,$2.55,9.07
