OraSure Technologies PE Ratio Historical Data,OraSure Technologies PE Ratio Historical Data,OraSure Technologies PE Ratio Historical Data,OraSure Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.54,,0.0
2024-12-31,3.61,$-0.26,0.0
2024-09-30,4.27,$0.15,28.47
2024-06-30,4.26,$0.36,11.83
2024-03-31,6.15,$0.30,20.5
2023-12-31,8.2,$0.72,11.39
2023-09-30,5.93,$0.66,8.98
2023-06-30,5.01,$0.58,8.64
2023-03-31,6.05,$0.39,15.51
2022-12-31,4.82,$-0.26,0.0
2022-09-30,3.79,$-0.61,0.0
2022-06-30,2.71,$-0.89,0.0
2022-03-31,6.78,$-0.65,0.0
2021-12-31,8.69,$-0.32,0.0
2021-09-30,11.31,$-0.15,0.0
2021-06-30,10.14,$0.07,144.86
2021-03-31,11.67,$-0.07,0.0
2020-12-31,10.59,$-0.24,0.0
2020-09-30,12.17,$-0.23,0.0
2020-06-30,11.63,$-0.03,0.0
2020-03-31,10.76,$0.20,53.8
2019-12-31,8.03,$0.27,29.74
2019-09-30,7.47,$0.39,19.15
2019-06-30,9.28,$0.31,29.94
2019-03-31,11.15,$0.31,35.97
2018-12-31,11.68,$0.33,35.39
2018-09-30,15.45,$0.29,53.28
2018-06-30,16.47,$0.25,65.88
2018-03-31,16.89,$0.27,62.56
2017-12-31,18.86,$0.51,36.98
2017-09-30,22.5,$0.52,43.27
2017-06-30,17.26,$0.54,31.96
2017-03-31,12.93,$0.52,24.87
2016-12-31,8.78,$0.35,25.09
2016-09-30,7.97,$0.30,26.57
2016-06-30,5.91,$0.22,26.86
2016-03-31,7.23,$0.18,40.17
2015-12-31,6.44,$0.14,46.0
2015-09-30,4.44,$0.01,0.0
2015-06-30,5.39,$-0.00,0.0
2015-03-31,6.54,$0.01,0.0
2014-12-31,10.14,$-0.09,0.0
2014-09-30,7.22,$0.07,103.14
2014-06-30,8.61,$0.02,430.5
2014-03-31,7.97,$-0.12,0.0
2013-12-31,6.29,$-0.20,0.0
2013-09-30,6.01,$-0.42,0.0
2013-06-30,3.88,$-0.43,0.0
2013-03-31,5.4,$-0.40,0.0
2012-12-31,7.18,$-0.29,0.0
2012-09-30,11.11,$-0.18,0.0
2012-06-30,11.24,$-0.22,0.0
2012-03-31,11.49,$-0.20,0.0
2011-12-31,9.11,$-0.19,0.0
2011-09-30,7.96,$-0.21,0.0
2011-06-30,8.53,$-0.12,0.0
2011-03-31,7.86,$-0.08,0.0
2010-12-31,5.75,$-0.07,0.0
2010-09-30,4.05,$-0.11,0.0
2010-06-30,4.63,$-0.08,0.0
2010-03-31,5.93,$-0.18,0.0
2009-12-31,5.08,$-0.17,0.0
