JAKKS Pacific PE Ratio Historical Data,JAKKS Pacific PE Ratio Historical Data,JAKKS Pacific PE Ratio Historical Data,JAKKS Pacific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.05,,8.32
2024-12-31,28.15,$3.01,9.35
2024-09-30,25.52,$2.72,9.38
2024-06-30,17.91,$2.61,6.86
2024-03-31,24.7,$2.72,9.08
2023-12-31,35.55,$3.41,10.43
2023-09-30,18.59,$8.32,2.23
2023-06-30,19.97,$6.75,2.96
2023-03-31,17.3,$8.78,1.97
2022-12-31,17.49,$8.93,1.96
2022-09-30,19.33,$4.77,4.05
2022-06-30,12.66,$5.78,2.19
2022-03-31,14.03,$0.69,20.33
2021-12-31,10.16,$-3.42,0.0
2021-09-30,11.88,$-5.60,0.0
2021-06-30,11.0,$-5.30,0.0
2021-03-31,7.13,$-10.52,0.0
2020-12-31,4.98,$-10.08,0.0
2020-09-30,3.8,$-14.53,0.0
2020-06-30,8.2,$-13.70,0.0
2020-03-31,3.49,$-15.60,0.0
2019-12-31,10.3,$-23.90,0.0
2019-09-30,8.55,$-18.30,0.0
2019-06-30,7.0,$-19.60,0.0
2019-03-31,10.1,$-18.00,0.0
2018-12-31,14.7,$-21.30,0.0
2018-09-30,25.5,$-33.20,0.0
2018-06-30,32.75,$-44.70,0.0
2018-03-31,21.0,$-44.40,0.0
2017-12-31,23.5,$-38.80,0.0
2017-09-30,30.0,$-30.20,0.0
2017-06-30,40.0,$-14.30,0.0
2017-03-31,55.0,$-9.30,0.0
2016-12-31,51.5,$-9.30,0.0
2016-09-30,86.4,$-9.60,0.0
2016-06-30,79.1,$-6.60,0.0
2016-03-31,74.4,$-6.90,0.0
2015-12-31,79.6,$-0.80,0.0
2015-09-30,85.2,$5.30,16.08
2015-06-30,98.9,$4.40,22.48
2015-03-31,68.4,$3.10,22.06
2014-12-31,68.0,$-0.30,0.0
2014-09-30,71.0,$-8.70,0.0
2014-06-30,77.4,$-7.90,0.0
2014-03-31,72.2,$-25.00,0.0
2013-12-31,67.2,$-30.20,0.0
2013-09-30,45.0,$-77.40,0.0
2013-06-30,112.5,$-77.50,0.0
2013-03-31,104.17,$-56.00,0.0
2012-12-31,123.53,$-49.60,0.0
2012-09-30,142.61,$-2.80,0.0
2012-06-30,155.73,$-2.80,0.0
2012-03-31,168.82,$-1.30,0.0
2011-12-31,135.7,$1.00,135.7
2011-09-30,181.2,$11.70,15.49
2011-06-30,174.95,$13.00,13.46
2011-03-31,183.88,$12.50,14.71
2010-12-31,173.14,$14.50,11.94
2010-09-30,167.63,$10.80,15.52
2010-06-30,136.65,$9.10,15.02
2010-03-31,124.3,$-141.60,0.0
2009-12-31,115.17,$-143.70,0.0
