Tenaris S.A PE Ratio Historical Data,Tenaris S.A PE Ratio Historical Data,Tenaris S.A PE Ratio Historical Data,Tenaris S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.9,,8.69
2024-09-30,31.33,$4.59,6.83
2024-06-30,30.08,$4.69,6.41
2024-03-31,37.83,$6.00,6.3
2023-12-31,33.48,$6.64,5.04
2023-09-30,30.09,$6.09,4.94
2023-06-30,28.52,$6.21,4.59
2023-03-31,26.38,$5.39,4.89
2022-12-31,32.64,$4.33,7.54
2022-09-30,23.74,$3.59,6.61
2022-06-30,23.6,$3.12,7.56
2022-03-31,27.17,$2.54,10.69
2021-12-31,18.84,$1.87,10.08
2021-09-30,18.84,$1.42,13.27
2021-06-30,19.54,$0.80,24.43
2021-03-31,20.0,$0.22,90.93
2020-12-31,14.06,$-1.08,0.0
2020-09-30,8.61,$-1.00,0.0
2020-06-30,11.3,$-0.76,0.0
2020-03-31,10.11,$-0.27,0.0
2019-12-31,19.0,$1.26,15.08
2019-09-30,17.56,$1.38,12.72
2019-06-30,21.81,$1.62,13.46
2019-03-31,22.95,$1.50,15.3
2018-12-31,17.32,$1.49,11.63
2018-09-30,26.98,$1.38,19.55
2018-06-30,29.29,$1.14,25.7
2018-03-31,27.52,$0.98,28.09
2017-12-31,25.29,$0.93,27.2
2017-09-30,22.27,$0.72,30.93
2017-06-30,24.5,$0.57,42.98
2017-03-31,26.4,$0.42,62.86
2016-12-31,27.62,$0.10,276.17
2016-09-30,21.78,$-0.04,0.0
2016-06-30,22.12,$-0.67,0.0
2016-03-31,18.56,$-0.54,0.0
2015-12-31,17.84,$-0.19,0.0
2015-09-30,17.86,$0.22,81.19
2015-06-30,20.02,$1.36,14.72
2015-03-31,20.34,$1.94,10.49
2014-12-31,21.95,$2.28,9.63
2014-09-30,32.82,$2.64,12.43
2014-06-30,33.97,$2.61,13.02
2014-03-31,31.44,$2.63,11.95
2013-12-31,31.04,$2.63,11.8
2013-09-30,33.05,$2.55,12.96
2013-06-30,28.45,$2.78,10.23
2013-03-31,28.42,$2.85,9.97
2012-12-31,29.21,$2.88,10.14
2012-09-30,28.22,$2.95,9.57
2012-06-30,24.2,$2.76,8.77
2012-03-31,26.07,$2.47,10.56
2011-12-31,25.36,$2.26,11.22
2011-09-30,17.22,$2.12,8.12
2011-06-30,30.95,$2.09,14.81
2011-03-31,33.15,$2.08,15.94
2010-12-31,32.83,$1.91,17.19
2010-09-30,25.6,$1.75,14.63
2010-06-30,23.06,$1.62,14.24
2010-03-31,28.3,$1.72,16.45
2009-12-31,28.11,$1.97,14.27
