Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,215.43,,24.21
2024-12-31,204.97,$8.90,23.03
2024-09-30,166.3,$8.31,20.01
2024-06-30,142.49,$8.30,17.17
2024-03-31,197.81,$8.21,24.09
2023-12-31,205.05,$5.90,34.75
2023-09-30,256.64,$5.85,43.87
2023-06-30,317.57,$5.45,58.27
2023-03-31,300.13,$5.33,56.31
2022-12-31,306.35,$4.85,63.17
2022-09-30,325.78,$4.31,75.59
2022-06-30,276.55,$3.93,70.37
2022-03-31,341.96,$3.84,89.05
2021-12-31,409.89,$3.37,121.63
2021-09-30,489.43,$2.95,165.91
2021-06-30,358.83,$2.90,123.74
2021-03-31,365.34,$2.49,146.72
2020-12-31,446.48,$2.46,181.5
2020-09-30,307.33,$2.82,108.98
2020-06-30,305.78,$3.02,101.25
2020-03-31,199.43,$3.36,59.36
2019-12-31,261.38,$3.09,84.59
2019-09-30,206.82,$2.85,72.57
2019-06-30,223.83,$2.67,83.83
2019-03-31,186.72,$2.45,76.21
2018-12-31,120.89,$2.34,51.66
2018-09-30,153.43,$2.02,75.95
2018-06-30,97.57,$1.77,55.12
2018-03-31,106.02,$1.40,75.73
2017-12-31,79.31,$1.14,69.57
2017-09-30,74.0,$1.07,69.16
2017-06-30,67.54,$0.93,72.62
2017-03-31,56.78,$0.87,65.26
2016-12-31,44.91,$0.74,60.69
2016-09-30,49.49,$0.68,72.78
2016-06-30,42.66,$0.65,65.63
2016-03-31,35.15,$0.57,61.66
2015-12-31,37.15,$0.37,100.41
2015-09-30,35.45,$0.33,107.43
2015-06-30,33.71,$0.31,108.76
2015-03-31,31.65,$0.20,158.26
