Climb Global Solutions PE Ratio Historical Data,Climb Global Solutions PE Ratio Historical Data,Climb Global Solutions PE Ratio Historical Data,Climb Global Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,115.8,,45.59
2024-12-31,126.75,$2.54,49.9
2024-09-30,99.4,$3.69,26.94
2024-06-30,62.6,$3.02,20.73
2024-03-31,70.42,$2.58,27.3
2023-12-31,54.34,$2.72,19.98
2023-09-30,42.46,$2.63,16.14
2023-06-30,47.04,$2.61,18.02
2023-03-31,52.2,$2.93,17.81
2022-12-31,30.78,$2.80,10.99
2022-09-30,26.1,$2.52,10.36
2022-06-30,32.1,$2.57,12.49
2022-03-31,33.21,$2.43,13.67
2021-12-31,33.56,$2.17,15.46
2021-09-30,25.6,$1.97,12.99
2021-06-30,23.67,$1.55,15.27
2021-03-31,23.6,$1.19,19.83
2020-12-31,17.81,$1.02,17.46
2020-09-30,21.33,$0.89,23.96
2020-06-30,23.6,$1.08,21.85
2020-03-31,11.64,$1.36,8.56
2019-12-31,14.59,$1.50,9.73
2019-09-30,13.37,$1.44,9.29
2019-06-30,9.92,$1.41,7.03
2019-03-31,9.66,$0.75,12.88
2018-12-31,8.54,$0.79,10.81
2018-09-30,10.86,$0.65,16.71
2018-06-30,11.52,$0.66,17.45
2018-03-31,10.56,$1.21,8.73
2017-12-31,13.37,$1.15,11.63
2017-09-30,10.74,$1.35,7.95
2017-06-30,15.15,$1.36,11.14
2017-03-31,14.6,$1.40,10.43
2016-12-31,14.38,$1.32,10.9
2016-09-30,13.51,$1.22,11.07
2016-06-30,13.63,$1.24,10.99
2016-03-31,12.77,$1.19,10.73
2015-12-31,13.57,$1.25,10.85
2015-09-30,12.46,$1.29,9.66
2015-06-30,14.39,$1.25,11.51
2015-03-31,12.67,$1.27,9.98
2014-12-31,12.25,$1.22,10.04
2014-09-30,11.15,$1.38,8.08
2014-06-30,10.72,$1.38,7.77
2014-03-31,13.71,$1.41,9.73
2013-12-31,9.25,$1.40,6.61
2013-09-30,8.74,$1.24,7.04
2013-06-30,7.71,$1.24,6.22
2013-03-31,7.81,$1.18,6.62
2012-12-31,7.2,$1.18,6.1
2012-09-30,7.98,$1.22,6.54
2012-06-30,7.76,$1.27,6.11
2012-03-31,8.88,$1.25,7.11
2011-12-31,7.53,$1.21,6.22
2011-09-30,6.09,$1.11,5.49
2011-06-30,8.14,$1.05,7.76
2011-03-31,8.15,$1.17,6.97
2010-12-31,6.61,$1.13,5.85
2010-09-30,5.8,$1.00,5.8
2010-06-30,5.17,$0.85,6.08
2010-03-31,5.13,$0.78,6.58
2009-12-31,4.39,$0.77,5.7
