MillerKnoll PE Ratio Historical Data,MillerKnoll PE Ratio Historical Data,MillerKnoll PE Ratio Historical Data,MillerKnoll PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.96,,20.84
2024-11-30,25.14,$0.91,27.63
2024-08-31,29.23,$0.87,33.6
2024-05-31,27.2,$1.11,24.51
2024-02-29,29.93,$0.97,30.85
2023-11-30,25.12,$0.68,36.94
2023-08-31,18.46,$0.44,41.96
2023-05-31,12.79,$0.56,22.85
2023-02-28,22.36,$0.84,26.62
2022-11-30,18.93,$0.99,19.12
2022-08-31,25.52,$0.73,34.95
2022-05-31,27.84,$-0.54,0.0
2022-02-28,35.61,$-0.70,0.0
2021-11-30,34.58,$-0.16,0.0
2021-08-31,38.14,$0.76,50.18
2021-05-31,43.18,$2.93,14.74
2021-02-28,34.52,$-0.14,0.0
2020-11-30,31.92,$-0.20,0.0
2020-08-31,21.24,$0.25,84.94
2020-05-31,20.51,$-0.18,0.0
2020-02-29,30.51,$3.55,8.6
2019-11-30,42.33,$3.57,11.86
2019-08-31,37.29,$2.91,12.82
2019-05-31,31.15,$2.70,11.54
2019-02-28,32.02,$2.45,13.07
2018-11-30,29.4,$2.28,12.89
2018-08-31,33.25,$2.17,15.32
2018-05-31,28.29,$2.12,13.34
2018-02-28,30.69,$2.14,14.34
2017-11-30,30.56,$2.02,15.13
2017-08-31,28.62,$2.00,14.31
2017-05-31,26.69,$2.05,13.02
2017-02-28,24.94,$2.17,11.49
2016-11-30,27.2,$2.26,12.03
2016-08-31,30.03,$2.30,13.05
2016-05-31,26.23,$2.26,11.61
2016-02-29,21.51,$1.98,10.87
2015-11-30,26.0,$1.87,13.9
2015-08-31,22.12,$1.76,12.57
2015-05-31,22.48,$1.62,13.88
2015-02-28,25.01,$1.51,16.56
2014-11-30,24.43,$1.49,16.4
2014-08-31,23.78,$-0.34,0.0
2014-05-31,24.91,$-0.38,0.0
2014-02-28,22.35,$-0.26,0.0
2013-11-30,25.18,$-0.31,0.0
2013-08-31,20.02,$1.20,16.68
2013-05-31,21.99,$1.16,18.96
2013-02-28,18.69,$0.96,19.47
2012-11-30,16.36,$0.94,17.41
2012-08-31,15.09,$1.21,12.47
2012-05-31,14.19,$1.29,11.0
2012-02-29,16.11,$1.39,11.59
2011-11-30,16.54,$1.42,11.65
2011-08-31,15.21,$1.27,11.98
2011-05-31,19.19,$1.07,17.94
2011-02-28,20.58,$0.77,26.73
2010-11-30,16.44,$0.60,27.4
2010-08-31,12.5,$0.51,24.5
2010-05-31,14.64,$0.43,34.05
2010-02-28,13.84,$0.57,24.29
2009-11-30,11.54,$0.35,32.97
