PJT Partners PE Ratio Historical Data,PJT Partners PE Ratio Historical Data,PJT Partners PE Ratio Historical Data,PJT Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,142.46,,29.07
2024-12-31,157.81,$4.90,32.21
2024-09-30,133.13,$3.94,33.79
2024-06-30,107.51,$3.83,28.07
2024-03-31,93.91,$3.63,25.87
2023-12-31,101.24,$3.08,32.87
2023-09-30,78.74,$3.16,24.92
2023-06-30,68.8,$3.30,20.85
2023-03-31,71.07,$3.18,22.35
2022-12-31,72.31,$3.51,20.6
2022-09-30,65.36,$3.88,16.84
2022-06-30,68.49,$3.88,17.65
2022-03-31,61.32,$4.03,15.22
2021-12-31,71.65,$4.06,17.65
2021-09-30,73.65,$4.41,16.7
2021-06-30,66.41,$4.81,13.81
2021-03-31,62.9,$4.78,13.16
2020-12-31,69.92,$4.47,15.64
2020-09-30,56.27,$3.49,16.12
2020-06-30,47.63,$2.55,18.68
2020-03-31,40.22,$1.89,21.28
2019-12-31,41.78,$1.21,34.53
2019-09-30,37.64,$0.74,50.86
2019-06-30,37.42,$0.79,47.37
2019-03-31,38.56,$0.89,43.32
2018-12-31,35.75,$1.09,32.8
2018-09-30,48.29,$-1.11,0.0
2018-06-30,49.2,$-1.28,0.0
2018-03-31,46.13,$-1.57,0.0
2017-12-31,41.94,$-1.74,0.0
2017-09-30,35.2,$0.59,59.66
2017-06-30,36.9,$-0.10,0.0
2017-03-31,32.15,$-0.13,0.0
2016-12-31,28.26,$-0.19,0.0
2016-09-30,24.91,$-1.26,0.0
