Lottery PE Ratio Historical Data,Lottery PE Ratio Historical Data,Lottery PE Ratio Historical Data,Lottery PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.1,,0.0
2024-09-30,0.6,$-9.74,0.0
2024-06-30,0.27,$-9.62,0.0
2024-03-31,0.27,$-9.82,0.0
2023-12-31,0.27,$-9.03,0.0
2023-09-30,0.27,$-5.81,0.0
2023-06-30,5.45,$-6.87,0.0
2023-03-31,5.6,$-11.20,0.0
2022-12-31,3.53,$-16.60,0.0
2022-09-30,4.5,$-22.80,0.0
2022-06-30,22.4,$-15.60,0.0
2022-03-31,62.8,$-9.60,0.0
2021-12-31,127.4,$-3.00,0.0
2021-09-30,232.0,$4.80,48.33
2021-06-30,252.6,$-1.00,0.0
2021-03-31,238.8,$-1.80,0.0
2020-12-31,239.2,$-2.40,0.0
2020-09-30,218.5,$-2.20,0.0
2020-06-30,216.0,$-1.20,0.0
2020-03-31,216.4,$-1.00,0.0
2019-12-31,211.0,$-0.80,0.0
2019-09-30,208.4,$-1.60,0.0
2019-06-30,206.8,$-2.00,0.0
2019-03-31,203.8,$-1.80,0.0
