Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,210.89,,24.21
2024-12-31,225.89,$8.71,25.93
2024-09-30,205.7,$8.66,23.75
2024-06-30,211.34,$8.77,24.1
2024-03-31,202.08,$8.63,23.42
2023-12-31,205.36,$8.47,24.25
2023-09-30,179.85,$8.07,22.29
2023-06-30,200.91,$8.08,24.86
2023-03-31,184.07,$7.70,23.91
2022-12-31,205.31,$7.27,28.24
2022-09-30,159.18,$7.81,20.38
2022-06-30,164.89,$7.33,22.49
2022-03-31,183.66,$7.53,24.39
2021-12-31,195.75,$7.92,24.72
2021-09-30,198.43,$7.78,25.51
2021-06-30,204.22,$7.05,28.97
2021-03-31,201.26,$6.54,30.77
2020-12-31,196.32,$6.72,29.21
2020-09-30,151.22,$6.97,21.7
2020-06-30,132.08,$8.13,16.25
2020-03-31,121.35,$8.70,13.95
2019-12-31,159.65,$8.41,18.98
2019-09-30,151.85,$8.56,17.74
2019-06-30,156.69,$9.44,16.6
2019-03-31,141.93,$9.02,15.73
2018-12-31,117.36,$8.99,13.05
2018-09-30,142.42,$3.50,40.69
2018-06-30,122.7,$2.14,57.33
2018-03-31,122.47,$2.26,54.19
2017-12-31,129.34,$2.08,62.18
2017-09-30,118.94,$6.60,18.02
2017-06-30,111.31,$6.45,17.26
2017-03-31,103.75,$6.31,16.44
2016-12-31,95.74,$6.13,15.62
2016-09-30,95.24,$6.32,15.07
2016-06-30,94.54,$6.32,14.96
2016-03-31,90.59,$6.17,14.68
2015-12-31,83.26,$6.05,13.76
2015-09-30,75.68,$5.72,13.23
2015-06-30,81.1,$5.59,14.51
2015-03-31,82.56,$5.46,15.12
2014-12-31,78.7,$5.33,14.76
2014-09-30,72.95,$5.32,13.71
2014-06-30,72.47,$5.09,14.24
2014-03-31,71.97,$4.99,14.42
2013-12-31,70.55,$4.92,14.34
2013-09-30,63.79,$4.05,15.75
2013-06-30,60.65,$4.01,15.12
2013-03-31,57.3,$3.87,14.81
2012-12-31,47.98,$3.70,12.97
2012-09-30,44.86,$2.98,15.05
2012-06-30,41.66,$2.88,14.46
2012-03-31,45.25,$2.76,16.4
2011-12-31,39.78,$2.60,15.3
2011-09-30,31.92,$3.47,9.2
2011-06-30,43.0,$3.01,14.29
2011-03-31,42.85,$2.59,16.55
2010-12-31,37.93,$2.21,17.16
2010-09-30,31.16,$2.65,11.76
2010-06-30,27.48,$2.81,9.78
2010-03-31,31.66,$2.81,11.27
2009-12-31,27.2,$2.85,9.55
