CTO Realty Growth PE Ratio Historical Data,CTO Realty Growth PE Ratio Historical Data,CTO Realty Growth PE Ratio Historical Data,CTO Realty Growth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.94,,0.0
2024-12-31,19.71,$-0.22,0.0
2024-09-30,19.02,$0.59,32.24
2024-06-30,17.46,$0.49,35.63
2024-03-31,16.95,$0.55,30.82
2023-12-31,17.33,$0.03,577.67
2023-09-30,16.21,$-0.43,0.0
2023-06-30,17.14,$-0.31,0.0
2023-03-31,17.26,$-0.34,0.0
2022-12-31,18.28,$-0.08,0.0
2022-09-30,18.74,$0.18,106.12
2022-06-30,20.0,$1.28,15.67
2022-03-31,21.33,$1.07,19.99
2021-12-31,19.42,$1.56,12.42
2021-09-30,16.69,$7.05,2.37
2021-06-30,16.32,$5.65,2.89
2021-03-31,15.56,$6.77,2.3
2020-12-31,12.38,$5.46,2.27
2020-09-30,8.06,$6.61,1.22
2020-06-30,7.15,$6.82,1.05
2020-03-31,8.16,$6.63,1.23
2019-12-31,10.82,$7.90,1.37
2019-09-30,11.74,$1.94,6.04
2019-06-30,10.67,$1.86,5.74
2019-03-31,10.53,$2.00,5.27
2018-12-31,9.35,$2.25,4.16
2018-09-30,11.08,$2.98,3.71
2018-06-30,10.93,$3.03,3.61
2018-03-31,11.15,$2.40,4.65
2017-12-31,11.26,$2.50,4.5
2017-09-30,10.64,$1.34,7.94
2017-06-30,10.08,$1.76,5.73
2017-03-31,9.47,$1.63,5.81
2016-12-31,9.44,$0.96,9.87
2016-09-30,9.04,$0.98,9.19
2016-06-30,8.38,$0.62,13.44
2016-03-31,8.13,$0.54,14.97
2015-12-31,9.29,$0.48,19.36
2015-09-30,8.77,$0.19,45.38
2015-06-30,10.15,$0.27,37.15
2015-03-31,10.5,$0.30,34.62
2014-12-31,9.82,$0.37,26.55
2014-09-30,8.63,$0.44,19.76
2014-06-30,8.07,$0.31,26.04
2014-03-31,7.08,$0.28,25.28
2013-12-31,6.38,$0.21,29.9
2013-09-30,6.76,$0.11,61.51
2013-06-30,6.7,$0.00,0.0
2013-03-31,6.89,$0.02,295.59
2012-12-31,5.44,$0.03,163.4
2012-09-30,5.77,$-0.00,0.0
2012-06-30,5.05,$-0.22,0.0
2012-03-31,5.21,$-0.23,0.0
2011-12-31,4.74,$-0.28,0.0
2011-09-30,4.6,$-0.24,0.0
2011-06-30,5.01,0,0.0
2011-03-31,5.67,$-0.01,0.0
2010-12-31,5.06,$0.01,0.0
2010-09-30,4.99,$0.00,0.0
2010-06-30,4.98,$0.03,187.36
2010-03-31,5.51,$0.03,184.23
2009-12-31,6.11,$0.05,131.03
