STUDIO CITY IH PE Ratio Historical Data,STUDIO CITY IH PE Ratio Historical Data,STUDIO CITY IH PE Ratio Historical Data,STUDIO CITY IH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.96,,0.0
2024-09-30,7.5,$-0.46,0.0
2024-06-30,5.85,$-0.50,0.0
2024-03-31,6.93,$-0.58,0.0
2023-12-31,6.48,$-0.70,0.0
2023-09-30,5.03,$-1.04,0.0
2023-06-30,6.94,$-1.33,0.0
2023-03-31,6.66,$-1.53,0.0
2022-12-31,5.96,$-1.87,0.0
2022-09-30,2.19,$-2.01,0.0
2022-06-30,2.15,$-2.25,0.0
2022-03-31,5.84,$-2.44,0.0
2021-12-31,5.33,$-2.72,0.0
2021-09-30,8.17,$-2.80,0.0
2021-06-30,11.52,$-3.34,0.0
2021-03-31,13.2,$-4.21,0.0
2020-12-31,11.87,$-4.56,0.0
2020-09-30,16.27,$-3.56,0.0
2020-06-30,15.9,$-2.10,0.0
2020-03-31,20.2,$-0.66,0.0
2019-12-31,19.75,$0.56,35.27
2019-09-30,20.1,$0.24,83.75
