Hallador Energy PE Ratio Historical Data,Hallador Energy PE Ratio Historical Data,Hallador Energy PE Ratio Historical Data,Hallador Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.58,,0.0
2024-09-30,9.43,$-0.55,0.0
2024-06-30,7.77,$-0.15,0.0
2024-03-31,5.33,$0.59,9.03
2023-12-31,8.84,$1.25,7.07
2023-09-30,14.42,$2.35,6.14
2023-06-30,8.57,$1.96,4.37
2023-03-31,9.19,$1.38,6.66
2022-12-31,9.99,$0.44,22.7
2022-09-30,5.62,$-0.64,0.0
2022-06-30,5.41,$-0.43,0.0
2022-03-31,3.5,$-0.42,0.0
2021-12-31,2.46,$-0.12,0.0
2021-09-30,2.96,$-0.02,0.0
2021-06-30,2.7,$-0.22,0.0
2021-03-31,1.87,$-0.11,0.0
2020-12-31,1.47,$-0.20,0.0
2020-09-30,0.65,$-2.00,0.0
2020-06-30,0.66,$-2.18,0.0
2020-03-31,0.95,$-2.30,0.0
2019-12-31,2.97,$-1.95,0.0
2019-09-30,3.62,$0.09,40.22
2019-06-30,5.63,$0.30,18.77
2019-03-31,5.22,$0.41,12.73
2018-12-31,5.03,$0.25,20.12
2018-09-30,6.13,$0.85,7.22
2018-06-30,7.04,$0.89,7.91
2018-03-31,6.77,$0.90,7.53
2017-12-31,5.97,$1.08,5.53
2017-09-30,5.57,$0.26,21.41
2017-06-30,7.56,$0.27,28.01
2017-03-31,7.8,$0.45,17.32
2016-12-31,8.81,$0.41,21.49
2016-09-30,7.64,$0.56,13.64
2016-06-30,4.44,$0.59,7.53
2016-03-31,4.39,$0.63,6.98
2015-12-31,4.35,$0.67,6.49
2015-09-30,6.62,$0.98,6.76
2015-06-30,7.91,$0.61,12.96
2015-03-31,11.04,$0.48,23.01
2014-12-31,10.4,$0.35,29.72
2014-09-30,11.15,$0.18,61.92
2014-06-30,8.91,$0.55,16.19
2014-03-31,7.99,$0.73,10.94
2013-12-31,7.49,$0.80,9.37
2013-09-30,6.75,$0.82,8.23
2013-06-30,7.41,$0.87,8.51
2013-03-31,6.31,$0.82,7.7
2012-12-31,7.56,$0.84,9.0
2012-09-30,7.47,$0.66,11.32
2012-06-30,7.13,$0.88,8.11
2012-03-31,7.44,$0.88,8.45
2011-12-31,8.22,$0.96,8.56
2011-09-30,7.09,$1.11,6.38
2011-06-30,7.94,$0.90,8.82
2011-03-31,9.49,$0.84,11.3
2010-12-31,8.58,$0.79,10.86
2010-09-30,9.52,$0.64,14.87
2010-06-30,7.23,$0.58,12.46
2010-03-31,6.78,$0.57,11.9
2009-12-31,6.34,$0.64,9.9
