Village Super Market PE Ratio Historical Data,Village Super Market PE Ratio Historical Data,Village Super Market PE Ratio Historical Data,Village Super Market PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.66,,9.52
2025-01-31,34.11,$3.64,9.37
2024-10-31,28.54,$3.47,8.22
2024-07-31,31.42,$3.39,9.27
2024-04-30,27.48,$3.38,8.13
2024-01-31,24.76,$3.53,7.01
2023-10-31,23.6,$3.41,6.92
2023-07-31,22.22,$3.39,6.56
2023-04-30,20.67,$3.23,6.4
2023-01-31,21.72,$2.26,9.61
2022-10-31,20.54,$2.10,9.78
2022-07-31,20.58,$1.84,11.19
2022-04-30,20.92,$1.62,12.91
2022-01-31,20.4,$2.02,10.1
2021-10-31,19.67,$1.64,12.0
2021-07-31,19.69,$1.37,14.38
2021-04-30,21.07,$1.35,15.6
2021-01-31,18.02,$1.94,9.29
2020-10-31,19.15,$1.77,10.82
2020-07-31,21.13,$1.72,12.29
2020-04-30,19.93,$1.56,12.77
2020-01-31,18.26,$1.14,16.02
2019-10-31,21.51,$1.53,14.06
2019-07-31,20.12,$1.78,11.31
2019-04-30,23.4,$1.73,13.52
2019-01-31,21.22,$1.83,11.59
2018-10-31,19.27,$1.96,9.83
2018-07-31,20.86,$1.74,11.99
2018-04-30,20.89,$1.79,11.67
2018-01-31,17.86,$1.76,10.15
2017-10-31,18.05,$1.52,11.88
2017-07-31,18.43,$1.60,11.52
2017-04-30,19.48,$1.73,11.26
2017-01-31,22.14,$1.73,12.8
2016-10-31,21.68,$1.75,12.39
2016-07-31,22.76,$1.77,12.86
2016-04-30,17.41,$1.66,10.48
2016-01-31,18.54,$2.17,8.54
2015-10-31,17.53,$2.20,7.97
2015-07-31,19.86,$2.16,9.19
2015-04-30,21.94,$2.14,10.25
2015-01-31,19.75,$1.44,13.71
2014-10-31,18.74,$1.17,16.01
2014-07-31,15.71,$0.35,44.88
2014-04-30,15.99,$0.32,49.96
2014-01-31,19.01,$0.42,45.27
2013-10-31,23.81,$0.87,27.37
2013-07-31,23.78,$1.84,12.92
2013-04-30,22.54,$2.05,11.0
2013-01-31,20.33,$2.19,9.29
2012-10-31,22.49,$2.20,10.22
2012-07-31,21.57,$2.27,9.5
2012-04-30,16.69,$2.26,7.38
2012-01-31,18.98,$1.91,9.94
2011-10-31,16.87,$1.74,9.7
2011-07-31,15.93,$1.54,10.34
2011-04-30,15.96,$1.56,10.23
2011-01-31,18.48,$1.83,10.1
2010-10-31,16.54,$1.84,8.99
2010-07-31,15.35,$1.89,8.12
2010-04-30,14.97,$1.73,8.65
2010-01-31,14.33,$1.81,7.92
2009-10-31,16.39,$1.91,8.58
