Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.02,,0.0
2024-12-31,74.98,$-1.95,0.0
2024-09-30,99.21,$0.56,177.16
2024-06-30,105.13,$1.08,97.34
2024-03-31,152.31,$1.78,85.57
2023-12-31,143.86,$1.30,110.66
2023-09-30,141.44,$1.52,93.05
2023-06-30,191.39,$2.78,68.84
2023-03-31,239.37,$3.01,79.53
2022-12-31,240.32,$4.11,58.47
2022-09-30,208.48,$5.99,34.8
2022-06-30,245.34,$6.52,37.63
2022-03-31,261.73,$9.14,28.64
2021-12-31,355.09,$8.85,40.12
2021-09-30,287.18,$8.25,34.81
2021-06-30,304.09,$7.79,39.04
2021-03-31,277.57,$3.75,74.02
2020-12-31,253.57,$2.49,101.84
2020-09-30,207.46,$1.64,126.5
2020-06-30,178.97,$1.83,97.8
2020-03-31,151.14,$3.54,42.69
2019-12-31,195.39,$5.07,38.54
2019-09-30,187.75,$5.10,36.81
2019-06-30,172.44,$4.83,35.7
2019-03-31,155.5,$4.89,31.8
2018-12-31,121.87,$4.37,27.89
2018-09-30,136.12,$3.15,43.21
2018-06-30,133.3,$2.95,45.19
2018-03-31,139.51,$3.07,45.44
2017-12-31,118.24,$2.88,41.06
2017-09-30,99.91,$3.70,27.0
2017-06-30,88.64,$3.35,26.46
2017-03-31,78.02,$2.99,26.09
2016-12-31,70.1,$2.90,24.17
2016-09-30,80.81,$2.94,27.49
2016-06-30,82.78,$2.97,27.87
2016-03-31,85.49,$3.12,27.4
2015-12-31,79.57,$3.12,25.5
2015-09-30,72.65,$3.06,23.74
2015-06-30,77.8,$2.83,27.49
2015-03-31,74.45,$3.09,24.09
2014-12-31,68.02,$2.92,23.3
2014-09-30,66.48,$2.88,23.08
2014-06-30,65.9,$3.05,21.61
2014-03-31,59.2,$2.63,22.51
2013-12-31,66.47,$2.54,26.17
2013-09-30,61.52,$2.58,23.85
2013-06-30,57.73,$2.58,22.38
2013-03-31,56.06,$2.47,22.7
2012-12-31,52.26,$2.35,22.24
2012-09-30,53.09,$2.22,23.91
2012-06-30,46.67,$2.16,21.6
2012-03-31,53.41,$2.13,25.07
2011-12-31,48.43,$2.11,22.95
2011-09-30,37.51,$1.97,19.09
2011-06-30,44.91,$1.74,25.81
2011-03-31,41.14,$1.70,24.2
2010-12-31,34.46,$1.53,22.52
2010-09-30,26.73,$1.32,20.33
2010-06-30,23.56,$1.20,19.72
2010-03-31,27.43,$1.09,25.16
2009-12-31,20.45,$1.02,20.05
