Sanara MedTech PE Ratio Historical Data,Sanara MedTech PE Ratio Historical Data,Sanara MedTech PE Ratio Historical Data,Sanara MedTech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.94,,0.0
2024-09-30,30.24,$-0.99,0.0
2024-06-30,28.22,$-0.78,0.0
2024-03-31,37.0,$-0.59,0.0
2023-12-31,41.1,$-0.52,0.0
2023-09-30,31.13,$-1.00,0.0
2023-06-30,40.1,$-1.05,0.0
2023-03-31,41.25,$-1.25,0.0
2022-12-31,45.5,$-1.52,0.0
2022-09-30,29.69,$-1.49,0.0
2022-06-30,20.86,$-1.58,0.0
2022-03-31,28.48,$-1.32,0.0
2021-12-31,29.55,$-1.08,0.0
2021-09-30,34.29,$-0.64,0.0
2021-06-30,36.95,$-0.55,0.0
2021-03-31,31.15,$-0.57,0.0
2020-12-31,49.9,$-0.79,0.0
