CollPlant Biotechnologies PE Ratio Historical Data,CollPlant Biotechnologies PE Ratio Historical Data,CollPlant Biotechnologies PE Ratio Historical Data,CollPlant Biotechnologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.07,,0.0
2024-09-30,4.97,$-1.54,0.0
2024-06-30,4.97,$-1.54,0.0
2024-03-31,5.35,$-0.68,0.0
2023-12-31,6.39,$-0.64,0.0
2023-09-30,5.57,$-0.61,0.0
2023-06-30,8.16,$-0.63,0.0
2023-03-31,7.02,$-1.51,0.0
2022-12-31,8.35,$-1.54,0.0
2022-09-30,6.8,$-1.45,0.0
2022-06-30,8.0,$-1.34,0.0
2022-03-31,11.22,$-1.25,0.0
2021-12-31,16.36,$-0.01,0.0
2021-09-30,16.9,$-0.13,0.0
2021-06-30,21.21,$0.23,92.22
2021-03-31,13.44,$0.25,53.76
2020-12-31,10.77,$-0.87,0.0
2020-09-30,8.34,$-2.00,0.0
2020-06-30,9.99,$-2.76,0.0
2020-03-31,9.2,$-2.81,0.0
2019-12-31,5.7,$-3.01,0.0
2019-09-30,4.03,$-1.24,0.0
2019-06-30,206.5,$-0.26,0.0
2019-03-31,275.01,$-0.26,0.0
2018-12-31,210.0,$-0.32,0.0
