Cable One PE Ratio Historical Data,Cable One PE Ratio Historical Data,Cable One PE Ratio Historical Data,Cable One PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,254.68,,49.55
2024-12-31,362.12,$5.14,70.45
2024-09-30,347.3,$43.24,8.03
2024-06-30,348.62,$42.47,8.21
2024-03-31,413.24,$43.67,9.46
2023-12-31,540.29,$45.18,11.96
2023-09-30,594.33,$12.41,47.89
2023-06-30,631.41,$17.13,36.86
2023-03-31,671.5,$18.88,35.57
2022-12-31,678.36,$36.11,18.79
2022-09-30,809.67,$60.03,13.49
2022-06-30,1220.75,$56.83,21.48
2022-03-31,1383.41,$62.40,22.17
2021-12-31,1663.05,$46.74,35.58
2021-09-30,1707.33,$53.74,31.77
2021-06-30,1798.82,$56.37,31.91
2021-03-31,1717.04,$50.32,34.12
2020-12-31,2089.54,$51.18,40.83
2020-09-30,1766.23,$42.96,41.11
2020-06-30,1660.48,$40.68,40.82
2020-03-31,1536.13,$36.40,42.2
2019-12-31,1389.03,$31.13,44.62
2019-09-30,1169.15,$29.15,40.11
2019-06-30,1089.2,$27.17,40.09
2019-03-31,911.21,$28.47,32.01
2018-12-31,759.84,$28.77,26.41
2018-09-30,816.82,$46.32,17.63
2018-06-30,676.15,$45.10,14.99
2018-03-31,631.9,$42.42,14.9
2017-12-31,645.19,$41.14,15.68
2017-09-30,660.69,$20.48,32.26
2017-06-30,648.88,$18.63,34.83
2017-03-31,568.72,$18.28,31.11
2016-12-31,564.9,$17.13,32.98
2016-09-30,529.24,$17.34,30.52
2016-06-30,462.16,$17.01,27.17
