Chesapeake Utilities PE Ratio Historical Data,Chesapeake Utilities PE Ratio Historical Data,Chesapeake Utilities PE Ratio Historical Data,Chesapeake Utilities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,125.54,,23.82
2024-12-31,121.35,$5.27,23.03
2024-09-30,123.54,$4.93,25.06
2024-06-30,105.12,$4.68,22.46
2024-03-31,105.57,$4.76,22.18
2023-12-31,103.33,$4.73,21.84
2023-09-30,95.09,$4.94,19.25
2023-06-30,115.15,$4.95,23.26
2023-03-31,123.27,$5.01,24.6
2022-12-31,113.34,$5.05,22.44
2022-09-30,110.17,$4.86,22.67
2022-06-30,123.17,$5.03,24.49
2022-03-31,130.4,$4.85,26.89
2021-12-31,137.53,$4.73,29.08
2021-09-30,112.84,$4.73,23.86
2021-06-30,112.67,$4.58,24.6
2021-03-31,108.26,$4.46,24.27
2020-12-31,100.55,$4.26,23.6
2020-09-30,78.01,$4.35,17.93
2020-06-30,77.29,$4.13,18.71
2020-03-31,78.45,$3.97,19.76
2019-12-31,87.3,$3.95,22.1
2019-09-30,86.46,$3.66,23.62
2019-06-30,85.82,$3.66,23.45
2019-03-31,82.02,$3.55,23.11
2018-12-31,72.82,$3.45,21.11
2018-09-30,74.85,$3.96,18.9
2018-06-30,71.03,$4.04,17.58
2018-03-31,62.2,$4.02,15.47
2017-12-31,69.13,$3.55,19.47
2017-09-30,68.59,$2.69,25.5
2017-06-30,65.42,$2.56,25.56
2017-03-31,60.14,$2.71,22.19
2016-12-31,57.92,$2.87,20.18
2016-09-30,52.59,$2.70,19.48
2016-06-30,56.71,$2.74,20.7
2016-03-31,53.68,$2.63,20.41
2015-12-31,48.15,$2.74,17.57
2015-09-30,44.79,$2.87,15.61
2015-06-30,45.16,$2.76,16.36
2015-03-31,42.23,$2.70,15.62
2014-12-31,41.2,$2.48,16.64
2014-09-30,34.37,$2.45,14.01
2014-06-30,39.0,$2.50,15.6
2014-03-31,34.33,$2.45,14.03
2013-12-31,32.42,$2.26,14.34
2013-09-30,28.16,$2.27,12.39
2013-06-30,27.42,$2.23,12.31
2013-03-31,25.92,$2.27,11.4
2012-12-31,23.82,$1.99,11.99
2012-09-30,24.65,$1.86,13.25
2012-06-30,22.58,$1.81,12.5
2012-03-31,21.06,$1.71,12.34
2011-12-31,22.02,$1.92,11.47
2011-09-30,20.21,$1.86,10.86
2011-06-30,19.99,$1.81,11.06
2011-03-31,20.59,$1.79,11.48
2010-12-31,20.38,$1.82,11.2
2010-09-30,17.63,$1.80,9.8
2010-06-30,15.14,$1.71,8.84
2010-03-31,14.22,$1.56,9.11
2009-12-31,15.13,$1.41,10.76
