Sweetgreen PE Ratio Historical Data,Sweetgreen PE Ratio Historical Data,Sweetgreen PE Ratio Historical Data,Sweetgreen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.43,,0.0
2024-12-31,32.06,$-0.79,0.0
2024-09-30,35.45,$-0.78,0.0
2024-06-30,30.14,$-0.82,0.0
2024-03-31,25.26,$-0.93,0.0
2023-12-31,11.3,$-1.00,0.0
2023-09-30,11.75,$-1.20,0.0
2023-06-30,12.82,$-1.41,0.0
2023-03-31,7.84,$-1.53,0.0
2022-12-31,8.57,$-1.68,0.0
2022-09-30,18.5,$-2.38,0.0
2022-06-30,11.65,$-1.95,0.0
2022-03-31,31.99,$-1.59,0.0
