Dawson Geophysical PE Ratio Historical Data,Dawson Geophysical PE Ratio Historical Data,Dawson Geophysical PE Ratio Historical Data,Dawson Geophysical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.44,,0.0
2024-09-30,1.58,$-0.18,0.0
2024-06-30,1.95,$-0.20,0.0
2024-03-31,1.19,$-0.26,0.0
2023-12-31,1.54,$-0.47,0.0
2023-09-30,1.95,$-0.52,0.0
2023-06-30,1.71,$-0.64,0.0
2023-03-31,1.3,$-0.78,0.0
2022-12-31,1.65,$-0.86,0.0
2022-09-30,1.34,$-1.04,0.0
2022-06-30,1.13,$-1.05,0.0
2022-03-31,1.96,$-1.11,0.0
2021-12-31,1.95,$-1.23,0.0
2021-09-30,2.09,$-1.26,0.0
2021-06-30,2.19,$-1.26,0.0
2021-03-31,2.06,$-0.82,0.0
2020-12-31,1.78,$-0.56,0.0
2020-09-30,1.48,$-0.48,0.0
2020-06-30,1.21,$-0.06,0.0
2020-03-31,0.82,$-0.61,0.0
2019-12-31,2.02,$-0.66,0.0
2019-09-30,1.8,$-0.92,0.0
2019-06-30,2.1,$-1.24,0.0
2019-03-31,2.46,$-1.00,0.0
2018-12-31,2.84,$-1.06,0.0
2018-09-30,5.2,$-0.75,0.0
2018-06-30,6.64,$-0.64,0.0
2018-03-31,5.39,$-1.04,0.0
2017-12-31,3.98,$-1.37,0.0
2017-09-30,3.62,$-1.49,0.0
2017-06-30,3.14,$-1.90,0.0
2017-03-31,4.45,$-1.77,0.0
2016-12-31,6.43,$-1.75,0.0
2016-09-30,6.1,$-1.66,0.0
2016-06-30,6.52,$-1.24,0.0
2016-03-31,3.66,$-1.25,0.0
2015-12-31,2.77,$-1.22,0.0
2015-09-30,3.05,$-2.03,0.0
2015-06-30,3.76,$-2.42,0.0
2015-03-31,3.42,$-2.41,0.0
2014-12-31,5.18,$-1.51,0.0
2014-09-30,9.24,$-1.09,0.0
2014-06-30,13.08,$-1.09,0.0
2014-03-31,13.6,$-1.09,0.0
2013-12-31,16.69,$-0.80,0.0
2013-09-30,18.03,$0.34,52.36
2013-06-30,18.79,$0.99,18.89
2013-03-31,22.63,$1.24,18.29
2012-12-31,18.72,$2.04,9.17
2012-09-30,16.13,$1.96,8.21
2012-06-30,21.75,$1.96,11.12
2012-03-31,22.22,$2.31,9.63
2011-12-31,15.99,$1.45,11.02
2011-09-30,9.86,$1.09,9.05
2011-06-30,14.31,$0.78,18.41
2011-03-31,17.4,$0.54,31.98
2010-12-31,8.51,$-0.16,0.0
2010-09-30,8.4,$-0.63,0.0
2010-06-30,6.79,$-0.67,0.0
2010-03-31,9.05,$-0.34,0.0
2009-12-31,8.76,$0.27,32.27
