Leafly Holdings PE Ratio Historical Data,Leafly Holdings PE Ratio Historical Data,Leafly Holdings PE Ratio Historical Data,Leafly Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-01-16,0.57,,0.0
2024-09-30,2.1,$-2.32,0.0
2024-06-30,2.01,$-2.96,0.0
2024-03-31,2.96,$-3.21,0.0
2023-12-31,4.81,$-4.92,0.0
2023-09-30,6.42,$-8.10,0.0
2023-06-30,5.8,$-1.40,0.0
2023-03-31,8.0,$6.80,1.18
2022-12-31,13.04,$-0.80,0.0
2022-09-30,13.58,$1.20,11.32
2022-06-30,90.0,$-4.40,0.0
2022-03-31,165.6,$-11.80,0.0
2021-12-31,199.8,$-1.40,0.0
2021-09-30,199.8,0,0.0
2021-06-30,199.0,0,0.0
2021-03-31,197.6,0,0.0
2020-12-31,204.0,0,0.0
2020-09-30,197.7,0,0.0
