Rekor Systems PE Ratio Historical Data,Rekor Systems PE Ratio Historical Data,Rekor Systems PE Ratio Historical Data,Rekor Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.01,,0.0
2024-09-30,1.18,$-0.65,0.0
2024-06-30,1.55,$-0.67,0.0
2024-03-31,2.29,$-0.73,0.0
2023-12-31,3.33,$-0.73,0.0
2023-09-30,2.82,$-0.57,0.0
2023-06-30,1.78,$-1.31,0.0
2023-03-31,1.25,$-1.46,0.0
2022-12-31,1.2,$-1.52,0.0
2022-09-30,1.0,$-1.52,0.0
2022-06-30,1.76,$-0.85,0.0
2022-03-31,4.56,$-0.64,0.0
2021-12-31,6.55,$-0.50,0.0
2021-09-30,11.49,$-0.50,0.0
2021-06-30,10.16,$-0.53,0.0
2021-03-31,19.99,$-0.45,0.0
2020-12-31,8.07,$-0.49,0.0
2020-09-30,5.76,$-0.49,0.0
2020-06-30,4.0,$-0.43,0.0
2020-03-31,3.7,$-0.66,0.0
2019-12-31,3.82,$-0.62,0.0
2019-09-30,2.16,$-0.62,0.0
2019-06-30,1.87,$-0.47,0.0
2019-03-31,0.7,$-0.27,0.0
2018-12-31,0.65,$-0.27,0.0
